left_name,left_area,left_category,left_cid,right_name,right_area,right_category,right_cid,name_similarity,distance_m,signals,signal_families,score,classification,left_phone,right_phone,left_whatsapp,right_whatsapp,left_instagram,right_instagram,left_website,right_website,decision,rationale
"Casa Rio Restaurant & Bar - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,restaurant,4666775397025577928,Rio Home,Playa Negra,restaurant,11653253983798852315,0.323,2.7,phone|within_30m,2,4,review,+50685824000,+85824000,+50685824000,,,,https://www.tripadvisor.com/Restaurant_Review-g1212465-d10811089-Reviews-Pause_Cafe_Rio_Negro-Cocles_Puerto_Viejo_de_Talamanca_Province_of_Limon.html,https://www.casariocr.com/,distinct_cids,"Separate Google Maps identities; shared signals indicate proximity, management, brand family, or related operations."
"Casas del Caribe - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,vacation_rental,2489061038640189430,"Green Property Management - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,real_estate,8364214958693781126,0.195,4.2,phone|within_30m,2,4,review,+50627500437,+50627500437,,,casasdelcaribe,greenmanagementcr,,,distinct_cids,"Separate Google Maps identities; shared signals indicate proximity, management, brand family, or related operations."
Chile Rojo,Puerto Viejo,restaurant,2449275981368445735,Chili Rojo,Puerto Viejo,restaurant,,0.900,145.8,name>=0.82|phone,2,4,review,+50627500421,+50627500421,+50683963247,,,chili_cr,https://www.tripadvisor.com/Restaurant_Review-g309265-d1509837-Reviews-Chile_Rojo-Puerto_Viejo_de_Talamanca_Province_of_Limon.html,https://www.tripadvisor.com/Restaurant_Review-g309265-d1509837-Reviews-Chile_Rojo-Puerto_Viejo_de_Talamanca_Province_of_Limon.html,deterministic_merge,Spelling variants share phone and identical TripAdvisor identity; the richer CID-bearing record is canonical.
Clínica de Especialidades Médicas San Gabriel,Puerto Viejo,services,13864196564288057579,Taller Gabriel,Puerto Viejo,shopping,7243082637502018565,0.373,19.2,phone|within_30m,2,4,review,+50627500848,27500848,+50688708029,,clnica_de_especialidades_mdicas_san_gabriel_cr,,,https://www.clinicasangabriel.net/,distinct_cids,"Separate Google Maps identities; shared signals indicate proximity, management, brand family, or related operations."
"Green Jungle House - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,hotel,10566257576749882719,"Ceibo Adventure - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,tour_company,,0.121,23.8,phone|within_30m,2,4,review,+50684753859,+50684753859,+50684753859,,greenjunglehouse,,,https://www.tripadvisor.ca/Attraction_Review-g309265-d25227055-Reviews-Ceibo_Adventure_Caribe-Puerto_Viejo_de_Talamanca_Province_of_Limon.html,related_or_shared_contact,"Names/roles differ; shared contact, website, social account, or coordinates are insufficient to merge without matching identity evidence."
"Jaguar Inn Bungalows - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,hotel,4375569377161762321,"Jaguar Rescue Center - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,tour_company,9435208628058025334,0.400,12.3,phone|within_30m,2,4,review,+50627500710,+50627500710,,,jaguarinnbungalowscr,jaguarrescuecentercr,,,distinct_cids,"Separate Google Maps identities; shared signals indicate proximity, management, brand family, or related operations."
"La Ceiba Nature Reserve - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",Punta Uva,hotel,,"La Casita de Cocles - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,vacation_rental,16930291155158825297,0.524,4481.9,instagram,1,4,review,+50627500710,,,,la_cr,la_cr,,,related_or_shared_contact,"Names/roles differ; shared contact, website, social account, or coordinates are insufficient to merge without matching identity evidence."
"La Costa de Papito - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,hotel,15457918864809997738,"La Casita de Cocles - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,vacation_rental,16930291155158825297,0.649,758.4,instagram,1,4,review,+50627500080,,,,la_cr,la_cr,,,distinct_cids,"Separate Google Maps identities; shared signals indicate proximity, management, brand family, or related operations."
"La Costa de Papito - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,hotel,15457918864809997738,"La Ceiba Nature Reserve - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",Punta Uva,hotel,,0.390,5233.6,instagram,1,4,review,+50627500080,+50627500710,,,la_cr,la_cr,,,related_or_shared_contact,"Names/roles differ; shared contact, website, social account, or coordinates are insufficient to merge without matching identity evidence."
"La Costa de Papito - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,hotel,15457918864809997738,"La Magia Bungalows - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,hotel,8216271918783135936,0.389,1188.6,instagram,1,4,review,+50627500080,+50627503122,,,la_cr,la_cr,,,distinct_cids,"Separate Google Maps identities; shared signals indicate proximity, management, brand family, or related operations."
"La Magia Bungalows - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,hotel,8216271918783135936,"La Casita de Cocles - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,vacation_rental,16930291155158825297,0.486,694.4,instagram,1,4,review,+50627503122,,,,la_cr,la_cr,,,distinct_cids,"Separate Google Maps identities; shared signals indicate proximity, management, brand family, or related operations."
"La Magia Bungalows - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,hotel,8216271918783135936,"La Ceiba Nature Reserve - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",Punta Uva,hotel,,0.390,4396.6,instagram,1,4,review,+50627503122,+50627500710,,,la_cr,la_cr,,,related_or_shared_contact,"Names/roles differ; shared contact, website, social account, or coordinates are insufficient to merge without matching identity evidence."
Nanku,Puerto Viejo,restaurant,8398495366730310888,Green Jaguar Irish Gastro Pub,Puerto Viejo,restaurant,14220452903198803816,0.176,216.8,phone|whatsapp,1,4,review,+50688354041,+50688354041,+50688354041,+50688354041,nanku.puertoviejo,,,,distinct_cids,"Separate Google Maps identities; shared signals indicate proximity, management, brand family, or related operations."
The Amazing Treehouse and Nature,Playa Negra,restaurant,11842476449595104705,"Nature Observatorio - Manzanillo, Limón, Costa Rica",Manzanillo,tour_company,315450376753766927,0.235,,phone|whatsapp,1,4,review,+86282663,+50686282663,https://api.whatsapp.com/send?phone=12133143400,wa.me/12133143400,,natureobservatorio,http://www.natureobservatorio.com/,https://www.tripadvisor.com/Attraction_Review-g1644063-d1880685-Reviews-Nature_Observatorio-Manzanillo_Province_of_Limon.html,distinct_cids,"Separate Google Maps identities; shared signals indicate proximity, management, brand family, or related operations."
"Villa Abejita - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,17566723912022559610,"Villa del Mito - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,3772885646337615062,0.667,184.2,phone|whatsapp,1,4,review,+50664614110,+50664614110,+50664614110,+50664614110,villaabejita,mito,https://www.decolar.com/hoteis/h-6215541,,distinct_cids,"Separate Google Maps identities; shared signals indicate proximity, management, brand family, or related operations."
"Villa Laurel - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,vacation_rental,,"Uva Blue Jungle Villas - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,vacation_rental,9838950680602433731,0.294,1774.8,instagram,1,4,review,+50684803667,+50627599340,,+50688689418,,uvabluevillas,,,related_or_shared_contact,"Names/roles differ; shared contact, website, social account, or coordinates are insufficient to merge without matching identity evidence."
"Cariblue Beach and Jungle Resort - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,hotel,14658668036585456092,Restaurante Cariblue,Cocles,restaurant,11076891351201890493,0.308,30.2,website,1,3,shared_signal,+50627500518,+50627500035,https://wa.me/50683141965,,caribluehotel,restaurantecariblue,https://cariblue.com/,https://cariblue.com/service/restaurante/,distinct_cids,"Separate Google Maps identities; shared signals indicate proximity, management, brand family, or related operations."
Casa Chilamate Day House,Playa Negra,restaurant,9842399411646961220,Casa Pallaita,Playa Negra,restaurant,12261963239237230570,0.432,1553.4,website,1,3,shared_signal,+84629244,,,,casachilamatedayhouse,,https://br.bluepillow.com/search/64861e527f7e24c192301f96?dest=bkng&cat=House&lat=9.75005&lng=-82.88442&language=pt,https://br.bluepillow.com/search/627d265ddf4f49af9b34a708?dest=bkng&cat=House&lat=9.64945&lng=-82.7518&language=pt,distinct_cids,"Separate Google Maps identities; shared signals indicate proximity, management, brand family, or related operations."
"Casa Cielo - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",Punta Uva,vacation_rental,6374413444850813378,"Happy House Manzanillo - Manzanillo, Limón, Costa Rica",Manzanillo,vacation_rental,7613918281459191152,0.375,,website,1,3,shared_signal,,,,,casacielo,happyhousecostarica,https://vrbo.com/affiliate/BxWlArK,https://vrbo.com/affiliate/pWzjiFo,distinct_cids,"Separate Google Maps identities; shared signals indicate proximity, management, brand family, or related operations."
Casa Dolce Vita,Puerto Viejo,hotel,1282335974102907594,"Las Casitas de Playa Negra - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,8689012956679917112,0.293,998.2,website,1,3,shared_signal,+50627500207,+50684088144,,+50684088144,casadolcevita,lascasitas,http://hoteldetail.eu/cabinas-casa-dolce-vita,http://hoteldetail.eu/las-casitas-de-playa-negra,distinct_cids,"Separate Google Maps identities; shared signals indicate proximity, management, brand family, or related operations."
"Casa Mariposa - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,vacation_rental,8900920815586328050,"Casa Cielo - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",Punta Uva,vacation_rental,6374413444850813378,0.609,3293.0,website,1,3,shared_signal,,,,,casamariposa,casacielo,https://vrbo.com/affiliate/4rIZLYi,https://vrbo.com/affiliate/BxWlArK,distinct_cids,"Separate Google Maps identities; shared signals indicate proximity, management, brand family, or related operations."
"Casa Mariposa - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,vacation_rental,8900920815586328050,"Happy House Manzanillo - Manzanillo, Limón, Costa Rica",Manzanillo,vacation_rental,7613918281459191152,0.400,,website,1,3,shared_signal,,,,,casamariposa,happyhousecostarica,https://vrbo.com/affiliate/4rIZLYi,https://vrbo.com/affiliate/pWzjiFo,distinct_cids,"Separate Google Maps identities; shared signals indicate proximity, management, brand family, or related operations."
"Casa Mariposa - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,vacation_rental,8900920815586328050,"Villa Cabú - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,vacation_rental,2579895199015686682,0.174,2244.4,website,1,3,shared_signal,,,,,casamariposa,villacab,https://vrbo.com/affiliate/4rIZLYi,https://vrbo.com/affiliate/SHXg7os,distinct_cids,"Separate Google Maps identities; shared signals indicate proximity, management, brand family, or related operations."
"Los Continentes - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,vacation_rental,16195237219481974530,Restaurante Cariblue,Cocles,restaurant,11076891351201890493,0.286,1586.7,website,1,3,shared_signal,+50627599263,+50627500035,https://wa.me/50683141965,,,restaurantecariblue,https://cariblue.com/,https://cariblue.com/service/restaurante/,distinct_cids,"Separate Google Maps identities; shared signals indicate proximity, management, brand family, or related operations."
Shenanigans–Eat Drink Dink Drive,Cocles,restaurant,15407971963095007347,Shenanigans–Fat Drink Dink Drive,Playa Negra,restaurant,1386465364860297778,0.969,6408.0,name>=0.92,1,3,shared_signal,+89568669,,,,,,https://wahoovacations.com/shenanigans/,,distinct_cids,"Separate Google Maps identities; shared signals indicate proximity, management, brand family, or related operations."
"Villa Cabú - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,vacation_rental,2579895199015686682,"Casa Cielo - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",Punta Uva,vacation_rental,6374413444850813378,0.300,1155.5,website,1,3,shared_signal,,,,,villacab,casacielo,https://vrbo.com/affiliate/SHXg7os,https://vrbo.com/affiliate/BxWlArK,distinct_cids,"Separate Google Maps identities; shared signals indicate proximity, management, brand family, or related operations."
"Villa Cabú - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,vacation_rental,2579895199015686682,"Happy House Manzanillo - Manzanillo, Limón, Costa Rica",Manzanillo,vacation_rental,7613918281459191152,0.188,,website,1,3,shared_signal,,,,,villacab,happyhousecostarica,https://vrbo.com/affiliate/SHXg7os,https://vrbo.com/affiliate/pWzjiFo,distinct_cids,"Separate Google Maps identities; shared signals indicate proximity, management, brand family, or related operations."
"Angler's Lair - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,vacation_rental,12754897163013733415,"Chiquita Escondida - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,vacation_rental,5961957804184993948,0.194,1194.7,phone,1,2,shared_signal,+50689568669,+50689568669,,,,chiquitaescondida,http://www.wahoovacations.com/,,distinct_cids,"Separate Google Maps identities; shared signals indicate proximity, management, brand family, or related operations."
"Azania Bungalows - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,hotel,1284571712904930160,"La Magia Bungalows - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,hotel,8216271918783135936,0.824,1303.0,name>=0.82,1,2,shared_signal,+50627500540,+50627503122,,,,la_cr,,,distinct_cids,"Separate Google Maps identities; shared signals indicate proximity, management, brand family, or related operations."
Bambu Store,Puerto Viejo,shopping,3007132759593543579,Passion Fruit Store,Puerto Viejo,shopping,3589518174440329979,0.533,22.5,within_30m,1,2,shared_signal,+50627500211,+50661794448,,+50661794448,,,,,distinct_cids,"Separate Google Maps identities; shared signals indicate proximity, management, brand family, or related operations."
"Banana Azul - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,hotel,3301165288581347626,"Caripro Apartments - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,265902149135749003,0.207,796.5,phone,1,2,shared_signal,+50627502035,+50627502035,,+50662895968,,caripro,,,distinct_cids,"Separate Google Maps identities; shared signals indicate proximity, management, brand family, or related operations."
"Banana Azul - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,hotel,3301165288581347626,"Villas Banana Verde - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,3491417544238941664,0.467,99.4,phone,1,2,shared_signal,+50627502035,+50627502035,,,,,,https://www.bananaazul.com/rooms?utm_source=google-mybusiness&utm_medium=direct-link&utm_campaign=g-mybusiness&utm_id=g-mybusiness,distinct_cids,"Separate Google Maps identities; shared signals indicate proximity, management, brand family, or related operations."
Best Travel Puerto Viejo,Puerto Viejo,tour_company,15210314141344220556,RISE Puerto Viejo,Puerto Viejo,real_estate,10602615161199468109,0.683,26.4,within_30m,1,2,shared_signal,+50622380739,+50683667578,,https://api.whatsapp.com/send?phone=50664614110,besttravelpuertoviejo,,,http://risecaribe.com/,distinct_cids,"Separate Google Maps identities; shared signals indicate proximity, management, brand family, or related operations."
"Big Tree Wildlife Refuge - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",Punta Uva,vacation_rental,5233367816302543964,Finca Las Hormigas,Punta Uva,hotel,10843005590817162391,0.095,4869.9,phone,1,2,shared_signal,+50688799191,88799191,,,bigtree.costarica,,,http://www.fincalashormigas.com/,distinct_cids,"Separate Google Maps identities; shared signals indicate proximity, management, brand family, or related operations."
Bio Mercado Puerto Viejo,Puerto Viejo,shopping,2440760117286550342,Mercadito Puerto Viejo,Puerto Viejo,shopping,11042023153703264759,0.870,702.5,name>=0.82,1,2,shared_signal,+50627503224,+50670920208,,,,mercadito1_pv,,,distinct_cids,"Separate Google Maps identities; shared signals indicate proximity, management, brand family, or related operations."
"Cabinas Algebra - Cahuita, Limón, Costa Rica",Cahuita,hotel,17217032978777865192,"Restaurante Bananas - Cahuita, Limón, Costa Rica",Cahuita,restaurant,3265602198018337523,0.294,,phone,1,2,shared_signal,+50627550057,+50627550057,,,algebra,,,,distinct_cids,"Separate Google Maps identities; shared signals indicate proximity, management, brand family, or related operations."
"Cabinas Kinawe - Hone Creek, Limón, Costa Rica",Hone Creek,hotel,5826733614696332728,"Villas Diwo - Hone Creek, Limón, Costa Rica",Hone Creek,vacation_rental,5114266921704520486,0.840,245.2,name>=0.82,1,2,shared_signal,+50627568476,+50686854500,,,kinawe_cabinas,villasdiwo,,,distinct_cids,"Separate Google Maps identities; shared signals indicate proximity, management, brand family, or related operations."
Cacao Huasi,Puerto Viejo,restaurant,1242408439996904931,"Talamanca Chocolate - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,tour_company,,0.267,1240.0,phone,1,2,shared_signal,+50689109318,+50689109318,,+50689109318,cacaohuasi,,,,not_duplicate_single_signal,Only one weak or fuzzy signal; names and available identity evidence do not establish the same entity.
Cafe Viejo,Puerto Viejo,restaurant,16024433122991526617,RISE Puerto Viejo,Puerto Viejo,real_estate,10602615161199468109,0.519,11.3,within_30m,1,2,shared_signal,+50627500817,+50683667578,,https://api.whatsapp.com/send?phone=50664614110,cafeviejo_cr,,https://www.tripadvisor.com/Restaurant_Review-g309265-d3850728-Reviews-Cafe_Viejo_Restaurante_Pizzeria-Puerto_Viejo_de_Talamanca_Province_of_Limon.html,http://risecaribe.com/,distinct_cids,"Separate Google Maps identities; shared signals indicate proximity, management, brand family, or related operations."
