business_name,decision,resolved_cid,capture_class,observed_name,identity_similarity,rationale,screenshot,screenshot_sha256
Hotel Posada Nena,rejected_wrong_target,11698915664369749164,probable,"Posada Nena Caribe, Puerto Viejo de Talamanca - Deluxe Double Room with Balcony",0.667,"Resolved CID is a room-level vacation listing, not a verified primary hotel identity.",current-25/screenshots/14-af121c3253.jpg,6ae37b08abc03ebe52db6eebb88a4e73b221ce80a9372bc1111022734107ab9e
Kinawe Cabinas,rejected_wrong_target,1064329827366942288,ambiguous,Results,0.19,Generic results; extracted CID belongs to Cabinas Apse Playa Negra.,current-25/screenshots/24-e7e08b1b93.jpg,263cd557afa7e2c4c66ed94299b341c6c83d3b27616163520d3cac7f1362f2b0
"La Ceiba Nature Reserve - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",accepted,1693592634910607224,probable,La Ceiba Reserva Natural,0.638,Observed Spanish identity La Ceiba Reserva Natural matches the bilingual canonical name and reserve description.,current-25/screenshots/02-25e053d740.jpg,cd1747b16d5ad79e26a471928e57e8cb2f3a4ddd10276fca060bef7541eef145
"La Fundación Cahuita Playing for Change - Cahuita, Limón, Costa Rica",accepted,14444699894257942648,probable,Playing for Change Cahuita,0.667,Observed Playing for Change Cahuita matches the foundation/program identity and location.,current-25/screenshots/21-734b8b4e7a.jpg,b739d599db0c37e0f2212f228abe02324734b845c24d4b9b3fa90f8beb7e9b92
Panadería Francés,rejected_wrong_target,9034432070677152199,ambiguous,De Gustibus Bakery - Puerto Viejo,0.208,Resolved De Gustibus Bakery is a differently named business with no corroborating canonical contact.,current-25/screenshots/16-f859a33b56.jpg,f8528922c37b16e9545c458c95e5c111dc98aa794ae35aeb6e55246d021f01d4
Paula's and Daniel's Homestay,rejected_wrong_target,5201679489523559249,ambiguous,Results,0.167,Generic results returned unrelated lodging candidates.,current-25/screenshots/15-396fb2e9cf.jpg,9b0602a291cd3e27916544354f88aaa32819926c7ebdabde74f1e8dfcbeb3100
"Proyecto Educativo Semillas de Paz - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",accepted,938478883870584374,ambiguous,Jardin Infantil Las Semillas,0.452,Observed Jardín Infantil Las Semillas is explicitly documented as the establishment's former name.,current-25/screenshots/10-10d2a40520.jpg,1d551396a11126863f1ed83c6a58a8cfc1e76a594ce76ee95d43332f1240c754
Puerto Viejo de Talamanca,rejected_wrong_target,1386465364860297778,ambiguous,Playa Negra,0.333,Generic place-name record resolved to an unrelated Playa Negra/Shenanigans CID.,current-25/screenshots/25-b83095725a.jpg,4ddc57428cf4ed54f2bf75ed1e04855b953b5fc83bb2d1fa48fda57154442a18
"Samasati Yoga and Wellness Retreat - Hone Creek, Limón, Costa Rica",accepted,2378802529330389577,probable,Samasati Retreat Center,0.561,"Observed Samasati Retreat Center matches the distinctive retreat name, lodging, yoga, and wellness identity.",current-25/screenshots/03-0bceab0469.jpg,1b4a467864a4e39600ea2e876f52086212d02ba67249c5fed36d70298e2abdff
"Se Ua Bed and Breakfast - Manzanillo, Limón, Costa Rica",accepted,15469928124041183357,ambiguous,Se Ua,0.4,Observed Se Ua is a 3-star hotel at the canonical Manzanillo identity; canonical name adds the lodging type.,current-25/screenshots/22-e62ae6e281.jpg,79e4dcb2a383fb3bac632b263eb72097072bf6d12795216777c831f2a19682ed
"Servicentro Hone Creek - Hone Creek, Limón, Costa Rica",accepted,11028453782334017200,probable,Hone Creek Gas Station,0.667,Observed Hone Creek Gas Station is the direct English identity for the distinctive local servicentro.,current-25/screenshots/13-b5ba661d03.jpg,9f121f1a2db691ba887bbe9bc190b622fe45d0afee5c3726f252dd10ec1f0fff
"Talamanca Chocolate - Playa Negra, Puerto Viejo, Limón, Costa Rica",rejected_wrong_target,1242408439996904931,probable,"Cacao Huasi - chocolate classes, restaurant and sunset cocktails",0.5,Resolved Cacao Huasi has a different business name; chocolate-class similarity alone is insufficient.,current-25/screenshots/12-8f119ec845.jpg,d855742f6bcc7be66db6fbe6ea753d744c7c421df2032bc91061db7b029064b7
"TKD Caribe - Cahuita, Limón, Costa Rica",rejected_wrong_target,12610728802592390000,ambiguous,Academia de Karate Limón,0.235,Resolved gym identity does not match TKD Caribe.,current-25/screenshots/23-cc41284f8a.jpg,70b38ab2c1ceae24e9f7122473663ed85fd8d02dd2a7c601eb31d3ba05d720b9
"Villa Laurel - Playa Cocles, Puerto Viejo, Limón, Costa Rica",accepted,7902224320478214928,exact,Villa Laurel,1.0,Fresh capture exactly matches the business identity after the legacy CID was moved away.,current-25/screenshots/06-f17b7d25d3.jpg,cb002a3ba6b6477b1d7e7c0cc5e62da78d555198c98a73bdec260f02efb05a6c
"We Do Laundry - Hone Creek, Limón, Costa Rica",accepted,7766901451570548014,probable,WeDOlaundry - Caribe,0.71,"Observed WeDOlaundry - Caribe matches the distinctive name, area, and laundry-service identity.",current-25/screenshots/08-1616ae5f20.jpg,3af4e73cba8306f96e1dcc01c39ee1a48b35894c1feb0871c47c58b706b42c07
