business_name,url,status,error,redirect_url,instagram_url,facebook_url,whatsapp,booking_url,tiktok_url,youtube_url,twitter_url,email
"Hotel Aguas Claras - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",https://www.hotelaguasclaras.com/,200,,https://hotelaguasclaras.com/,https://www.instagram.com/hotelaguasclaras,https://www.facebook.com/hotelaguasclarascostarica; https://www.facebook.com/tr,,,,,,https:dana.cohen.pr@gmail.com; https:info@islapalenque.com
"Villas del Caribe - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",http://www.villasdelcaribe.com/,200,,https://villasdelcaribe.com/,https://www.instagram.com/hotelvillasdelcaribe,https://www.facebook.com/villascaribe,,,,,,https:info@villasdelcaribe.com
"Samasati Yoga and Wellness Retreat - Hone Creek, Limón, Costa Rica",http://www.anrdoezrs.net/links/2369666/type/dlg/https://www.tripadvisor.com/Hotel_Review-g309265-d300508-Reviews-Samasati_Yoga_Wellness_Retreat-Puerto_Viejo_de_Talamanca_Province_of_Limon.html,403,,https://www.tripadvisor.com/Hotel_Review-g309265-d300508-Reviews-Samasati_Yoga_Wellness_Retreat-Puerto_Viejo_de_Talamanca_Province_of_Limon.html?cja=11552042&cjp=2369666&cjs=&m=13092&PID=cj_int,,,,,,,,
"Tasty Dayz Hostel - Playa Cocles, Puerto Viejo, Limón, Costa Rica",https://www.tastydayz.com/,200,,https://www.tastydayz.com/,https://www.instagram.com/p; https://www.instagram.com/tastydayz,http://www.facebook.com/2008; https://www.facebook.com/pages; https://www.facebook.com/tastydayz,,,,,,https:TASTYDAYZ@GMAIL.COM; https:tastydayz@gmail.com; https:user@domain.com
"Yuyo Huelal Totga - Playa Cocles, Puerto Viejo, Limón, Costa Rica",https://yuyo.info/,200,,https://yuyo.info/,,,,,,https://youtube.com/@nature,,https:welcome@yuyo.info; https:yuyo-bravo@riseup.net
"Playa 506 - Playa Cocles, Puerto Viejo, Limón, Costa Rica",https://playa506.com/,200,,https://playa506.com/,https://www.instagram.com/playa506,https://www.facebook.com/playa506,https://wa.me/50685937485,,,https://www.youtube.com/channel/UCxXmTEfNGA4M3vTD3eYr3Og,,
Estrellas Cabinas,http://www.casitasmaryluz.com/,200,,http://www.casitasmaryluz.com/,,https://www.facebook.com/casitasmaryluz; https://www.facebook.com/tr,,,,,,https:casitasmaryluz@gmail.com
"Casa Roble de Playa Negra - Playa Negra, Puerto Viejo, Limón, Costa Rica",https://casaroblecr.com,200,,https://casasrobleymedialuna.com/,https://instagram.com/casarobledeplayanegra; https://www.instagram.com/elnidoepulecenella,http://www.facebook.com/2008; https://www.facebook.com/Grow.pv; https://www.facebook.com/LaNenaCocles; https://www.facebook.com/elrinconporteno.pv; https://www.facebook.com/people,,,,,,https:user@domain.com
"Villa Abejita - Playa Negra, Puerto Viejo, Limón, Costa Rica",https://www.decolar.com/hoteis/h-6215541,403,,https://www.decolar.com/hoteis/h-6215541,,,,,,,,
"Magic Moon Beach House - Playa Negra, Puerto Viejo, Limón, Costa Rica",https://magicmooncr.com/,200,,https://www.magicmooncr.com/,,,,,,,,https:info@magicmooncr.com; https:support@webador.com
"Cabinas Cable Talamanca - Playa Negra, Puerto Viejo, Limón, Costa Rica",http://www.cabinastalamanca.com/,202,,https://www.booking.com/hotel/cr/cabinas-cable-talamanca.es.html??aid=2438894&no_rooms=1&group_adults=2&label=cabinastalamanca,,,,,,,,
"Casa Selva - Playa Negra, Puerto Viejo, Limón, Costa Rica",https://linktr.ee/selvanegra.lodge,200,,https://linktr.ee/selvanegra.lodge,,,https://api.whatsapp.com/send?phone=50672229607,,,,,
"Las Casitas de Playa Negra - Playa Negra, Puerto Viejo, Limón, Costa Rica",http://hoteldetail.eu/las-casitas-de-playa-negra,200,,https://bestplacesinmap.eu/las-casitas-de-playa-negra?correlationID=b1db0f71-290a-4592-906c-b34e251e0ede,,,,,,,,
"Casitas Joanna - Playa Negra, Puerto Viejo, Limón, Costa Rica",http://www.casitasjoanna.com/,200,,http://www.casitasjoanna.com/,,https://www.facebook.com/casitasjoannaplayanegra,,,,,,https:casitasjoanna@gmail.com
"Chimuri Beach Retreat - Playa Negra, Puerto Viejo, Limón, Costa Rica",http://retreat.chimuribeach.com/,200,,https://chimuribeach.com/,,,,,,,,https:chimuri@gmail.com
"El Jardin de Playa Negra - Playa Negra, Puerto Viejo, Limón, Costa Rica",http://www.eljardindeplayanegra.com/,200,,https://www.eljardindeplayanegra.com/,https://www.instagram.com/el_jardin_de_playa_negra,https://www.facebook.com/italiacostarica; https://www.facebook.com/tr,,,,,,https:info@italiacostarica.com
"Villas Banana Verde - Playa Negra, Puerto Viejo, Limón, Costa Rica",https://www.bananaazul.com/rooms?utm_source=google-mybusiness&utm_medium=direct-link&utm_campaign=g-mybusiness&utm_id=g-mybusiness,200,,https://www.bananaazul.com/rooms?utm_source=google-mybusiness&utm_medium=direct-link&utm_campaign=g-mybusiness&utm_id=g-mybusiness,https://instagram.com/hotelbananaazul,https://facebook.com/BananaAzul,,,,,,
"Villas Piña - Playa Negra, Puerto Viejo, Limón, Costa Rica",http://www.villaspina.net/,200,,https://www.villaspina.net/,,https://www.facebook.com/villaspinacr,,,,,,https:info@villaspina.net
"Geckoes Lodge - Playa Cocles, Puerto Viejo, Limón, Costa Rica",https://www.geckoeslodge.com,200,,https://www.geckoeslodge.com,,,,,,,,
"AroCocles - Playa Cocles, Puerto Viejo, Limón, Costa Rica",https://arococles.com/,200,,https://arococles.com/,https://www.instagram.com/arococles,https://www.facebook.com/people,,,,,,https:info@arococles.com
"Casa Margarita - Playa Cocles, Puerto Viejo, Limón, Costa Rica",http://habitatpuertoviejo.com/,200,,https://www.habitatpuertoviejo.com/,https://www.instagram.com/habitatpuertoviejo,https://www.facebook.com/habitatvacationrentals,,,,,,https:habitatpuertoviejo@gmail.com
"Casa Mariposa - Playa Cocles, Puerto Viejo, Limón, Costa Rica",https://vrbo.com/affiliate/4rIZLYi,429,,https://www.vrbo.com/affiliate/4rIZLYi,,,,,,,,
"Los Continentes - Playa Cocles, Puerto Viejo, Limón, Costa Rica",https://cariblue.com/,200,,https://cariblue.com/,https://www.instagram.com/caribluehotel,https://www.facebook.com/caribluehotel,https://wa.me/50683141965,,https://www.tiktok.com/@caribluehotelcr,https://www.youtube.com/@caribluehotelcocles,,https:info@cariblue.com; https:reservations@cariblue.com
"Habitat Vacation Rentals - Playa Cocles, Puerto Viejo, Limón, Costa Rica",http://habitatpuertoviejo.com/,200,,https://www.habitatpuertoviejo.com/,https://www.instagram.com/habitatpuertoviejo,https://www.facebook.com/habitatvacationrentals,,,,,,https:habitatpuertoviejo@gmail.com
"Las Palomas - Playa Cocles, Puerto Viejo, Limón, Costa Rica",https://www.laspalomascr.com/,200,,https://laspalomascr.com/,https://www.instagram.com/laspalomas_cr,http://www.facebook.com/2008; https://facebook.com/Las; https://www.facebook.com/BoostlyUK,,,,,,https:info@laspalomascr.com; https:mark@boostly.co.uk; https:name@email.com
"La Perla del Caribe - Playa Cocles, Puerto Viejo, Limón, Costa Rica",http://laperlacostarica.com/,200,,https://www.laperlacostarica.com/,,,,,,,,https:605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com; https:8c4075d5481d476e945486754f783364@sentry.io; https:8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com; https:c183baa23371454f99f417f6616b724d@sentry.wixpress.com; https:dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com
"Villa Laurel - Playa Cocles, Puerto Viejo, Limón, Costa Rica",https://uvabluevillas.com/en/4711180/check-availability,200,,https://uvabluevillas.com/en/4711180/check-availability,https://www.instagram.com/uvabluevillas,https://www.facebook.com/uvabluevillas,,,,,,https:%20jane.smith@domain.com; https:uvabluevillas@gmail.com
"Villa Rameen - Playa Cocles, Puerto Viejo, Limón, Costa Rica",https://deals.vio.com/?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D4296735%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,200,,https://www.vio.com/Hotel/Search?hotelId=4296735&is_retargeting=true&openHotelDetails=1&pid=click-tracker&utm_campaign=static&utm_source=gha-vr&vclid=49beef77-a09e-4d03-8c6d-da65b680e106,https://www.instagram.com/vio.com.travel,https://www.facebook.com/viodotcom,,,,,,https:partners@vio.com; https:your@email.com
"Angler's Lair - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",http://www.wahoovacations.com/,200,,https://www.wahoovacations.com/,https://www.instagram.com/wahoovacations,https://www.facebook.com/WahooVacations,,,,https://www.youtube.com/channel/UCQmhcDprundAwdls0nGZOxA,,https:18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com; https:5d1795a2db124a268f1e1bd88f503500@sentry.wixpress.com; https:605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com; https:78f7996315bc402f9dcb8a2f974b82d1@sentry.wixpress.com; https:8c4075d5481d476e945486754f783364@sentry.io; https:8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com; https:9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com; https:c183baa23371454f99f417f6616b724d@sentry.wixpress.com; https:dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com; https:wahoovacations@gmail.com
"Casa Ambar - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",http://www.habitatpuertoviejo.com/#!ambar-ingles/c1q47,200,,https://www.habitatpuertoviejo.com/#!ambar-ingles/c1q47,https://www.instagram.com/habitatpuertoviejo,https://www.facebook.com/habitatvacationrentals,,,,,,https:habitatpuertoviejo@gmail.com
"Casa Jungle Love - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",http://crystaljunglevilla.com/,200,,https://crystaljunglevilla.com/,https://www.instagram.com/crystaljunglevillacr,,https://wa.me/50664614110,,,,,https:hola@risecaribe.com
"Up! House - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",https://www.uphousecostarica.com/,200,,https://www.uphousecostarica.com/,https://www.instagram.com/uphousecostarica,http://www.facebook.com/2008; https://www.facebook.com/UpHouseCostaRica,,,,,,https:user@domain.com
"Villa Cabú - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",https://vrbo.com/affiliate/SHXg7os,429,,https://www.vrbo.com/affiliate/SHXg7os,,,,,,,,
"Villa del Mar - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",https://uvabluevillas.com/en/4711180/check-availability,200,,https://uvabluevillas.com/en/4711180/check-availability,https://www.instagram.com/uvabluevillas,https://www.facebook.com/uvabluevillas,,,,,,https:%20jane.smith@domain.com; https:uvabluevillas@gmail.com
"Casa Cielo - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",https://vrbo.com/affiliate/BxWlArK,429,,https://www.vrbo.com/affiliate/BxWlArK,,,,,,,,
Gigi O Restaurant,https://wearegigi.com/gigi-o,404,,https://www.wearegigi.com/gigi-o,,,,,,,,
"Tasty Waves Cantina - Playa Cocles, Puerto Viejo, Limón, Costa Rica",https://www.tastydayz.com/cantina,200,,https://www.tastydayz.com/cantina,https://www.instagram.com/p; https://www.instagram.com/tastydayz; https://www.instagram.com/tastywavescantina,http://www.facebook.com/2008; https://www.facebook.com/TastyWavesCantina; https://www.facebook.com/tastydayz,,,,,,https:user@domain.com
"Azul Bar and Grill - Playa Negra, Puerto Viejo, Limón, Costa Rica",http://www.anrdoezrs.net/links/2369666/type/dlg/https://www.tripadvisor.com/Restaurant_Review-g309265-d7311559-Reviews-Azul_Beach_Club-Puerto_Viejo_de_Talamanca_Province_of_Limon.html,403,,https://www.tripadvisor.com/Restaurant_Review-g309265-d7311559-Reviews-Azul_Beach_Club-Puerto_Viejo_de_Talamanca_Province_of_Limon.html?cja=11552042&cjp=2369666&cjs=&m=13092&PID=cj_int,,,,,,,,
Cafe Rico,http://www.anrdoezrs.net/links/2369666/type/dlg/https://www.tripadvisor.com/Restaurant_Review-g309265-d3169883-Reviews-Cafe_Rico-Puerto_Viejo_de_Talamanca_Province_of_Limon.html,403,,https://www.tripadvisor.com/Restaurant_Review-g309265-d3169883-Reviews-Cafe_Rico-Puerto_Viejo_de_Talamanca_Province_of_Limon.html?cja=11552042&cjp=2369666&cjs=&m=13092&PID=cj_int,,,,,,,,
Cafe Viejo,http://www.anrdoezrs.net/links/2369666/type/dlg/https://www.tripadvisor.com/Restaurant_Review-g309265-d3850728-Reviews-Cafe_Viejo_Restaurante_Pizzeria-Puerto_Viejo_de_Talamanca_Province_of_Limon.html,403,,https://www.tripadvisor.com/Restaurant_Review-g309265-d3850728-Reviews-Cafe_Viejo_Restaurante_Pizzeria-Puerto_Viejo_de_Talamanca_Province_of_Limon.html?cja=11552042&cjp=2369666&cjs=&m=13092&PID=cj_int,,,,,,,,
"Casa Rio Restaurant & Bar - Playa Cocles, Puerto Viejo, Limón, Costa Rica",https://www.kqzyfj.com/click-2369666-11552042?url=https%3A%2F%2Fwww.tripadvisor.com%2FRestaurant_Review-g1212465-d10811089-Reviews-Pause_Cafe_Rio_Negro-Cocles_Puerto_Viejo_de_Talamanca_Province_of_Limon.html,403,,https://www.tripadvisor.com/Restaurant_Review-g1212465-d10811089-Reviews-Pause_Cafe_Rio_Negro-Cocles_Puerto_Viejo_de_Talamanca_Province_of_Limon.html?cja=11552042&cjp=2369666&cjs=&m=13092&PID=cj_int,,,,,,,,
La Casita de Monli,http://www.anrdoezrs.net/links/2369666/type/dlg/https://www.tripadvisor.com/Restaurant_Review-g309265-d3572894-Reviews-La_Casita_de_Monli_Bar_Restaurante_and_Grill-Puerto_Viejo_de_Talamanca_Province_o.html,403,,https://www.tripadvisor.com/Restaurant_Review-g309265-d3572894-Reviews-La_Casita_de_Monli_Bar_Restaurante_and_Grill-Puerto_Viejo_de_Talamanca_Province_o.html?cja=11552042&cjp=2369666&cjs=&m=13092&PID=cj_int,,,,,,,,
Chile Rojo,http://www.anrdoezrs.net/links/2369666/type/dlg/https://www.tripadvisor.com/Restaurant_Review-g309265-d1509837-Reviews-Chile_Rojo-Puerto_Viejo_de_Talamanca_Province_of_Limon.html,403,,https://www.tripadvisor.com/Restaurant_Review-g309265-d1509837-Reviews-Chile_Rojo-Puerto_Viejo_de_Talamanca_Province_of_Limon.html?cja=11552042&cjp=2369666&cjs=&m=13092&PID=cj_int,,,,,,,,
Como en la Gloria,http://www.anrdoezrs.net/links/2369666/type/dlg/https://www.tripadvisor.com/Restaurant_Review-g1212465-d13339992-Reviews-Como_en_la_Gloria-Cocles_Puerto_Viejo_de_Talamanca_Province_of_Limon.html,403,,https://www.tripadvisor.com/Restaurant_Review-g1212465-d13339992-Reviews-Como_en_la_Gloria-Cocles_Puerto_Viejo_de_Talamanca_Province_of_Limon.html?cja=11552042&cjp=2369666&cjs=&m=13092&PID=cj_int,,,,,,,,
De Gustibus Bakery,http://www.anrdoezrs.net/links/2369666/type/dlg/https://www.tripadvisor.com/Restaurant_Review-g309265-d7960369-Reviews-De_Gustibus_Bakery-Puerto_Viejo_de_Talamanca_Province_of_Limon.html,403,,https://www.tripadvisor.com/Restaurant_Review-g309265-d7960369-Reviews-De_Gustibus_Bakery-Puerto_Viejo_de_Talamanca_Province_of_Limon.html?cja=11552042&cjp=2369666&cjs=&m=13092&PID=cj_int,,,,,,,,
Hot Rocks,http://www.anrdoezrs.net/links/2369666/type/dlg/https://www.tripadvisor.com/Restaurant_Review-g309265-d7129145-Reviews-Hot_Rocks_Restaurant_Bar_Bands_Musicians-Puerto_Viejo_de_Talamanca_Province_of_Li.html,403,,https://www.tripadvisor.com/Restaurant_Review-g309265-d7129145-Reviews-Hot_Rocks_Restaurant_Bar_Bands_Musicians-Puerto_Viejo_de_Talamanca_Province_of_Li.html?cja=11552042&cjp=2369666&cjs=&m=13092&PID=cj_int,,,,,,,,
KOKi Beach,http://www.anrdoezrs.net/links/2369666/type/dlg/https://www.tripadvisor.com/Restaurant_Review-g309265-d1593118-Reviews-KOKi_Beach_Restaurant_Bar-Puerto_Viejo_de_Talamanca_Province_of_Limon.html,403,,https://www.tripadvisor.com/Restaurant_Review-g309265-d1593118-Reviews-KOKi_Beach_Restaurant_Bar-Puerto_Viejo_de_Talamanca_Province_of_Limon.html?cja=11552042&cjp=2369666&cjs=&m=13092&PID=cj_int,,,,,,,,
"La Leyenda de L'Antico Forno en El Establo de Bruce - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",https://www.kqzyfj.com/click-2369666-11552042?url=https%3A%2F%2Fwww.tripadvisor.com%2FRestaurant_Review-g309265-d17535993-Reviews-La_Leyenda_de_L_Antico_Forno_en_El_Establo_de_Bruce-Puerto_Viejo_de_Talamanca_Pr.html,403,,https://www.tripadvisor.com/Restaurant_Review-g309265-d17535993-Reviews-La_Leyenda_de_L_Antico_Forno_en_El_Establo_de_Bruce-Puerto_Viejo_de_Talamanca_Pr.html?cja=11552042&cjp=2369666&cjs=&m=13092&PID=cj_int,,,,,,,,
Lidia's Place,http://www.anrdoezrs.net/links/2369666/type/dlg/https://www.tripadvisor.com/Restaurant_Review-g309265-d1975179-Reviews-Restaurante_Lidia_s_Place-Puerto_Viejo_de_Talamanca_Province_of_Limon.html,403,,https://www.tripadvisor.com/Restaurant_Review-g309265-d1975179-Reviews-Restaurante_Lidia_s_Place-Puerto_Viejo_de_Talamanca_Province_of_Limon.html?cja=11552042&cjp=2369666&cjs=&m=13092&PID=cj_int,,,,,,,,
Madre Tierra,http://www.anrdoezrs.net/links/2369666/type/dlg/https://www.tripadvisor.com/Restaurant_Review-g309265-d6457445-Reviews-Madre_Tierra-Puerto_Viejo_de_Talamanca_Province_of_Limon.html,403,,https://www.tripadvisor.com/Restaurant_Review-g309265-d6457445-Reviews-Madre_Tierra-Puerto_Viejo_de_Talamanca_Province_of_Limon.html?cja=11552042&cjp=2369666&cjs=&m=13092&PID=cj_int,,,,,,,,
"La Nena - Playa Cocles, Puerto Viejo, Limón, Costa Rica",http://www.anrdoezrs.net/links/2369666/type/dlg/https://www.tripadvisor.com/Restaurant_Review-g1212465-d10495635-Reviews-La_Nena-Cocles_Puerto_Viejo_de_Talamanca_Province_of_Limon.html,403,,https://www.tripadvisor.com/Restaurant_Review-g1212465-d10495635-Reviews-La_Nena-Cocles_Puerto_Viejo_de_Talamanca_Province_of_Limon.html?cja=11552042&cjp=2369666&cjs=&m=13092&PID=cj_int,,,,,,,,
Port Vell,https://www.dpbolvw.net/click-2369666-11552042?url=https%3A%2F%2Fwww.tripadvisor.com%2FRestaurant_Review-g309265-d8619430-Reviews-Port_Vell-Puerto_Viejo_de_Talamanca_Province_of_Limon.html,403,,https://www.tripadvisor.com/Restaurant_Review-g309265-d8619430-Reviews-Port_Vell-Puerto_Viejo_de_Talamanca_Province_of_Limon.html?cja=11552042&cjp=2369666&cjs=&m=13092&PID=cj_int,,,,,,,,
Puerto Pirata,https://www.tkqlhce.com/click-2369666-11552042?url=https%3A%2F%2Fwww.tripadvisor.com%2FRestaurant_Review-g309265-d3930312-Reviews-Puerto_Pirata_Beach-Puerto_Viejo_de_Talamanca_Province_of_Limon.html,403,,https://www.tripadvisor.com/Restaurant_Review-g309265-d3930312-Reviews-Puerto_Pirata_Beach-Puerto_Viejo_de_Talamanca_Province_of_Limon.html?cja=11552042&cjp=2369666&cjs=&m=13092&PID=cj_int,,,,,,,,
"Pura Gula Restaurant - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",http://www.anrdoezrs.net/links/2369666/type/dlg/https://www.tripadvisor.com/Restaurant_Review-g309265-d2193443-Reviews-Pura_Gula-Puerto_Viejo_de_Talamanca_Province_of_Limon.html,403,,https://www.tripadvisor.com/Restaurant_Review-g309265-d2193443-Reviews-Pura_Gula-Puerto_Viejo_de_Talamanca_Province_of_Limon.html?cja=11552042&cjp=2369666&cjs=&m=13092&PID=cj_int,,,,,,,,
"Que Quilombo - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",https://www.jdoqocy.com/click-2369666-11552042?url=https%3A%2F%2Fwww.tripadvisor.com%2FRestaurant_Review-g12673094-d15644592-Reviews-Que_Quilombo-Playa_Chiquita_Puerto_Viejo_de_Talamanca_Province_of_Limon.html,403,,https://www.tripadvisor.com/Restaurant_Review-g12673094-d15644592-Reviews-Que_Quilombo-Playa_Chiquita_Puerto_Viejo_de_Talamanca_Province_of_Limon.html?cja=11552042&cjp=2369666&cjs=&m=13092&PID=cj_int,,,,,,,,
"El Refugio Grill - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",http://www.anrdoezrs.net/links/2369666/type/dlg/https://www.tripadvisor.com/Restaurant_Review-g309265-d1537456-Reviews-El_Refugio_Grill-Puerto_Viejo_de_Talamanca_Province_of_Limon.html,403,,https://www.tripadvisor.com/Restaurant_Review-g309265-d1537456-Reviews-El_Refugio_Grill-Puerto_Viejo_de_Talamanca_Province_of_Limon.html?cja=11552042&cjp=2369666&cjs=&m=13092&PID=cj_int,,,,,,,,
Restaurante Bar Tamara,http://www.anrdoezrs.net/links/2369666/type/dlg/https://www.tripadvisor.com/Restaurant_Review-g309265-d2316363-Reviews-Restaurante_Tamara-Puerto_Viejo_de_Talamanca_Province_of_Limon.html,403,,https://www.tripadvisor.com/Restaurant_Review-g309265-d2316363-Reviews-Restaurante_Tamara-Puerto_Viejo_de_Talamanca_Province_of_Limon.html?cja=11552042&cjp=2369666&cjs=&m=13092&PID=cj_int,,,,,,,,
Restaurante Nema,http://www.anrdoezrs.net/links/2369666/type/dlg/https://www.tripadvisor.com/Restaurant_Review-g309265-d8697383-Reviews-Nema_Bar_y_Restaurante-Puerto_Viejo_de_Talamanca_Province_of_Limon.html,403,,https://www.tripadvisor.com/Restaurant_Review-g309265-d8697383-Reviews-Nema_Bar_y_Restaurante-Puerto_Viejo_de_Talamanca_Province_of_Limon.html?cja=11552042&cjp=2369666&cjs=&m=13092&PID=cj_int,,,,,,,,
Restaurante Riquísimo,https://www.tkqlhce.com/click-2369666-11552042?url=https%3A%2F%2Fwww.tripadvisor.com%2FRestaurant_Review-g309265-d4163712-Reviews-Soda_riquisimo-Puerto_Viejo_de_Talamanca_Province_of_Limon.html,403,,https://www.tripadvisor.com/Restaurant_Review-g309265-d4163712-Reviews-Soda_riquisimo-Puerto_Viejo_de_Talamanca_Province_of_Limon.html?cja=11552042&cjp=2369666&cjs=&m=13092&PID=cj_int,,,,,,,,
"El Rincon Porteño - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",https://www.anrdoezrs.net/click-2369666-11552042?url=https%3A%2F%2Fwww.tripadvisor.com%2FRestaurant_Review-g1212465-d14789061-Reviews-El_Rincon_Porteno-Cocles_Puerto_Viejo_de_Talamanca_Province_of_Limon.html,403,,https://www.tripadvisor.com/Restaurant_Review-g1212465-d14789061-Reviews-El_Rincon_Porteno-Cocles_Puerto_Viejo_de_Talamanca_Province_of_Limon.html?cja=11552042&cjp=2369666&cjs=&m=13092&PID=cj_int,,,,,,,,
Samurai Fusion,https://www.dpbolvw.net/click-2369666-11552042?url=https%3A%2F%2Fwww.tripadvisor.com%2FRestaurant_Review-g309265-d24135534-Reviews-Samuray_Fusion-Puerto_Viejo_de_Talamanca_Province_of_Limon.html,403,,https://www.tripadvisor.com/Restaurant_Review-g309265-d24135534-Reviews-Samuray_Fusion-Puerto_Viejo_de_Talamanca_Province_of_Limon.html?cja=11552042&cjp=2369666&cjs=&m=13092&PID=cj_int,,,,,,,,
SOCA Restaurant,https://www.jdoqocy.com/click-2369666-11552042?url=https%3A%2F%2Fwww.tripadvisor.com%2FRestaurant_Review-g309265-d23838043-Reviews-Soca-Puerto_Viejo_de_Talamanca_Province_of_Limon.html,403,,https://www.tripadvisor.com/Restaurant_Review-g309265-d23838043-Reviews-Soca-Puerto_Viejo_de_Talamanca_Province_of_Limon.html?cja=11552042&cjp=2369666&cjs=&m=13092&PID=cj_int,,,,,,,,
"Soda Playa Chiquita - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",https://www.kqzyfj.com/click-2369666-11552042?url=https%3A%2F%2Fwww.tripadvisor.com%2FRestaurant_Review-g12673094-d19894126-Reviews-Soda_Playa_Chiquita-Playa_Chiquita_Puerto_Viejo_de_Talamanca_Province_of_Limon.html,403,,https://www.tripadvisor.com/Restaurant_Review-g12673094-d19894126-Reviews-Soda_Playa_Chiquita-Playa_Chiquita_Puerto_Viejo_de_Talamanca_Province_of_Limon.html?cja=11552042&cjp=2369666&cjs=&m=13092&PID=cj_int,,,,,,,,
