name,category,lat,lon,tags
Azania Bungalow,hotel,9.6497813,-82.7377092,"{""addr:city"": ""Talamanca"", ""addr:postcode"": ""70403"", ""email"": ""info@azania-costarica.com"", ""fax"": ""2750-0371"", ""name"": ""Azania Bungalow"", ""note"": ""Hotel data current in 2011. Contains good contact information. Duplicates and \""no longer there\"" are possible."", ""phone"": ""2750-0540"", ""source"": ""KG Ground Survey 2015"", ""tourism"": ""hotel"", ""website"": ""www.azania-costarica.com""}"
Azania Bungalows,hotel,9.65031,-82.73703,"{""addr:city"": ""Puerto Viejo"", ""name"": ""Azania Bungalows"", ""note"": ""Hotel data current in 2011. Contains good contact information. Duplicates and \""no longer there\"" are possible."", ""source"": ""KG Ground Survey 2015"", ""tourism"": ""hotel""}"
Beach Hut,hotel,9.6577326,-82.752862,"{""addr:city"": ""Puerto Viejo"", ""name"": ""Beach Hut"", ""note"": ""Hotel data current in 2011. Contains good contact information. Duplicates and \""no longer there\"" are possible."", ""phone"": ""2750-0895"", ""source"": ""KG Ground Survey 2011"", ""tourism"": ""hotel""}"
Cabinas El Tesoro,hotel,9.6521579,-82.7400186,"{""addr:city"": ""Puerto Viejo"", ""email"": ""cabinaseltesoro@puertoviejo.net"", ""fax"": ""2750-0756"", ""name"": ""Cabinas El Tesoro"", ""note"": ""Hotel data current in 2011. Contains good contact information. Duplicates and \""no longer there\"" are possible."", ""phone"": ""2750-0128"", ""source"": ""KG Ground Survey 2015"", ""tourism"": ""hotel"", ""website"": ""www.cabinaseltesoro.com""}"
Cabinas Guana Art Shop,hotel,9.6555932,-82.7534924,"{""addr:city"": ""Puerto Viejo"", ""name"": ""Cabinas Guana Art Shop"", ""note"": ""Hotel data current in 2011. Contains good contact information. Duplicates and \""no longer there\"" are possible."", ""source"": ""KG Ground Survey 2015"", ""tourism"": ""hotel""}"
Cabinas Las Olas,hotel,9.658485,-82.750892,"{""addr:city"": ""Puerto Viejo"", ""name"": ""Cabinas Las Olas"", ""note"": ""Hotel data current in 2011. Contains good contact information. Duplicates and \""no longer there\"" are possible."", ""source"": ""KG Ground Survey 2015"", ""tourism"": ""hotel""}"
Hotel Posada Nena,hotel,9.6567029,-82.7513293,"{""addr:city"": ""Puerto Viejo"", ""addr:postcode"": ""70403"", ""description"": ""Formerly Cabinas Tropical"", ""name"": ""Hotel Posada Nena"", ""note"": ""Hotel data current in 2011. Contains good contact information. Duplicates and \""no longer there\"" are possible."", ""phone"": ""27502064"", ""source"": ""KG Ground Survey 2015"", ""tourism"": ""hotel"", ""website"": ""https://www.posadanena.com/"", ""wikidata"": ""Q111151370""}"
Calalu Cabinas,hotel,9.6570158,-82.7486276,"{""addr:city"": ""Puerto Viejo"", ""name"": ""Calalu Cabinas"", ""note"": ""Hotel data current in 2011. Contains good contact information. Duplicates and \""no longer there\"" are possible."", ""source"": ""KG Ground Survey 2015"", ""tourism"": ""hotel""}"
Camarona Caribbean Lodge,hotel,9.6570239,-82.7457109,"{""addr:city"": ""Puerto Viejo"", ""name"": ""Camarona Caribbean Lodge"", ""note"": ""Hotel data current in 2011. Contains good contact information. Duplicates and \""no longer there\"" are possible."", ""source"": ""KG Ground Survey 2015"", ""tourism"": ""hotel""}"
Casa Planet Harley,hotel,9.6372342,-82.7336467,"{""addr:city"": ""Talamanca"", ""name"": ""Casa Planet Harley"", ""note"": ""Hotel data current in 2011. Contains good contact information. Duplicates and \""no longer there\"" are possible."", ""source"": ""KG Ground Survey 2015"", ""tourism"": ""hotel""}"
Cashew Hill Jungle Lodge,hotel,9.6530722,-82.7535229,"{""addr:city"": ""Puerto Viejo"", ""name"": ""Cashew Hill Jungle Lodge"", ""note"": ""Hotel data current in 2011. Contains good contact information. Duplicates and \""no longer there\"" are possible."", ""source"": ""KG Ground Survey 2015"", ""tourism"": ""hotel""}"
Chimuri Beach Cottages,hotel,9.6563199,-82.7698681,"{""addr:city"": ""Puerto Viejo"", ""name"": ""Chimuri Beach Cottages"", ""note"": ""Hotel data current in 2011. Contains good contact information. Duplicates and \""no longer there\"" are possible."", ""source"": ""KG Ground Survey 2015"", ""tourism"": ""hotel""}"
Coco Congo,hotel,9.653914,-82.762306,"{""addr:city"": ""Puerto Viejo"", ""name"": ""Coco Congo"", ""note"": ""Hotel data current in 2011. Contains good contact information. Duplicates and \""no longer there\"" are possible."", ""source"": ""KG Ground Survey 2015"", ""tourism"": ""hotel""}"
El Tucan Jungle Lodge,hotel,9.6380968,-82.7371152,"{""addr:city"": ""Talamanca"", ""name"": ""El Tucan Jungle Lodge"", ""note"": ""Hotel data current in 2011. Contains good contact information. Duplicates and \""no longer there\"" are possible."", ""source"": ""KG Ground Survey 2015"", ""tourism"": ""hotel""}"
Geckoes Lodge,hotel,9.6352661,-82.7346106,"{""addr:city"": ""Talamanca"", ""addr:street"": ""Calle El Parque"", ""name"": ""Geckoes Lodge"", ""note"": ""Hotel data current in 2011. Contains good contact information. Duplicates and \""no longer there\"" are possible."", ""phone"": ""506 2750 0908"", ""source"": ""KG Ground Survey 2015"", ""tourism"": ""hotel"", ""website"": ""https://www.geckoeslodge.com/""}"
Hotel Kasha,hotel,9.6416088,-82.7192014,"{""addr:city"": ""Talamanca"", ""name"": ""Hotel Kasha"", ""note"": ""Hotel data current in 2011. Contains good contact information. Duplicates and \""no longer there\"" are possible."", ""source"": ""KG Ground Survey 2015"", ""tourism"": ""hotel""}"
Hotel Punta Cocles,hotel,9.6378305,-82.7181137,"{""addr:city"": ""Talamanca"", ""name"": ""Hotel Punta Cocles"", ""note"": ""Hotel data current in 2011. Contains good contact information. Duplicates and \""no longer there\"" are possible."", ""source"": ""KG Ground Survey 2015"", ""tourism"": ""hotel""}"
Hotel Punta Cocles,hotel,9.6424719,-82.721147,"{""addr:city"": ""Talamanca"", ""name"": ""Hotel Punta Cocles"", ""note"": ""Hotel data current in 2011. Contains good contact information. Duplicates and \""no longer there\"" are possible."", ""source"": ""KG Ground Survey 2015"", ""tourism"": ""hotel""}"
Jardín Miraflores Lodge,hotel,9.639525,-82.7132813,"{""addr:city"": ""Talamanca"", ""name"": ""Jardín Miraflores Lodge"", ""note"": ""Hotel data current in 2011. Contains good contact information. Duplicates and \""no longer there\"" are possible."", ""source"": ""KG Ground Survey 2015"", ""tourism"": ""hotel""}"
La Caracola,hotel,9.6430773,-82.7234076,"{""addr:city"": ""Talamanca"", ""name"": ""La Caracola"", ""note"": ""Hotel data current in 2011. Contains good contact information. Duplicates and \""no longer there\"" are possible."", ""source"": ""KG Ground Survey 2015"", ""tourism"": ""hotel""}"
Le Cameleon Boutique Hotel,hotel,9.6441813,-82.7284542,"{""addr:city"": ""Talamanca"", ""internet_access"": ""wlan"", ""name"": ""Le Cameleon Boutique Hotel"", ""note"": ""Hotel data current in 2011. Contains good contact information. Duplicates and \""no longer there\"" are possible."", ""source"": ""KG Ground Survey 2015"", ""tourism"": ""hotel"", ""wikidata"": ""Q111151375""}"
Los Continentes,hotel,9.6428984,-82.7264451,"{""addr:city"": ""Talamanca"", ""name"": ""Los Continentes"", ""note"": ""Hotel data current in 2011. Contains good contact information. Duplicates and \""no longer there\"" are possible."", ""phone"": ""506 2759 9263"", ""source"": ""KG Ground Survey 2015"", ""tourism"": ""hotel"", ""website"": ""www.loscontinentes.net""}"
Magic Moon,hotel,9.6567721,-82.7705055,"{""addr:city"": ""Puerto Viejo"", ""name"": ""Magic Moon"", ""note"": ""Hotel data current in 2011. Contains good contact information. Duplicates and \""no longer there\"" are possible."", ""source"": ""KG Ground Survey 2015"", ""tourism"": ""hotel""}"
Namuwoki Lodge,hotel,9.6376526,-82.7131081,"{""addr:city"": ""Talamanca"", ""name"": ""Namuwoki Lodge"", ""note"": ""Hotel data current in 2011. Contains good contact information. Duplicates and \""no longer there\"" are possible."", ""phone"": ""506 2750 0278"", ""source"": ""KG Ground Survey 2015"", ""tourism"": ""hotel"", ""website"": ""https://www.namuwoki.com/"", ""wikidata"": ""Q111151379""}"
Physis Caribbean Bed & Breakfast,hotel,9.6432097,-82.7326822,"{""addr:city"": ""Talamanca"", ""name"": ""Physis Caribbean Bed & Breakfast"", ""note"": ""Hotel data current in 2011. Contains good contact information. Duplicates and \""no longer there\"" are possible."", ""phone"": ""506 8866 4405"", ""source"": ""KG Ground Survey 2015"", ""tourism"": ""hotel"", ""website"": ""https://www.physiscaribbean.net/""}"
Pizote Lodge,hotel,9.6518452,-82.7602863,"{""addr:city"": ""Puerto Viejo"", ""name"": ""Pizote Lodge"", ""note"": ""Hotel data current in 2011. Contains good contact information. Duplicates and \""no longer there\"" are possible."", ""source"": ""KG Ground Survey 2015"", ""tourism"": ""hotel""}"
Sunrise Backpackers Hostel,hotel,9.6563923,-82.7546815,"{""addr:city"": ""Puerto Viejo"", ""name"": ""Sunrise Backpackers Hostel"", ""note"": ""Hotel data current in 2011. Contains good contact information. Duplicates and \""no longer there\"" are possible."", ""source"": ""KG Ground Survey 2015"", ""tourism"": ""hotel""}"
Tierra de Suenos Lodge,hotel,9.6380977,-82.7125281,"{""addr:city"": ""Talamanca"", ""name"": ""Tierra de Suenos Lodge"", ""note"": ""Hotel data current in 2011. Contains good contact information. Duplicates and \""no longer there\"" are possible."", ""phone"": ""705 797 4940"", ""source"": ""KG Ground Survey 2015"", ""tourism"": ""hotel""}"
Vago's Place,hotel,9.6374191,-82.7375214,"{""addr:city"": ""Talamanca"", ""name"": ""Vago's Place"", ""note"": ""Hotel data current in 2011. Contains good contact information. Duplicates and \""no longer there\"" are possible."", ""source"": ""KG Ground Survey 2015"", ""tourism"": ""hotel""}"
La Perla del Caribe,hotel,9.6529892,-82.7422068,"{""name"": ""La Perla del Caribe"", ""source"": ""KG Ground Survey 2015"", ""tourism"": ""hotel""}"
El Nido,hotel,9.6384635,-82.7115568,"{""name"": ""El Nido"", ""source"": ""KG Ground Survey 2015"", ""tourism"": ""hotel""}"
El Tucan Jungle Lodge,hotel,9.6401424,-82.7340345,"{""name"": ""El Tucan Jungle Lodge"", ""tourism"": ""hotel""}"
Angelika´s Guest House,hotel,9.6434529,-82.7190681,"{""name"": ""Angelika´s Guest House"", ""tourism"": ""guest_house""}"
Blue Butterfly,hotel,9.6556068,-82.751525,"{""name"": ""Blue Butterfly "", ""tourism"": ""hotel""}"
Cabinas Olé Caribe,hotel,9.641022,-82.727066,"{""addr:city"": ""Cahuita"", ""addr:postcode"": ""70403"", ""addr:street"": ""Calle Olé Caribe"", ""description"": ""Cabinas y Restaurante"", ""name"": ""Cabinas Olé Caribe"", ""tourism"": ""hotel""}"
Lapalapa Beach Front Hotel,hotel,9.6446765,-82.7282387,"{""addr:city"": ""Cocles"", ""internet_access"": ""yes"", ""internet_access:fee"": ""no"", ""name"": ""Lapalapa Beach Front Hotel"", ""operator"": ""Vamos a Lapalapa"", ""phone"": ""+506 88178041"", ""rooms"": ""18"", ""smoking"": ""no"", ""tourism"": ""hotel""}"
Casa Merlin Lodge,hotel,9.6387519,-82.7171333,"{""internet_access"": ""wlan"", ""name"": ""Casa Merlin Lodge"", ""tourism"": ""hotel"", ""website"": ""https://www.casa-merlin.com/""}"
Pipa Lodge,hotel,9.6465403,-82.7328508,"{""name"": ""Pipa Lodge"", ""phone"": ""61868771"", ""tourism"": ""hotel""}"
Vista Verde,hotel,9.6579171,-82.7487996,"{""internet_access"": ""wlan"", ""name"": ""Vista Verde"", ""tourism"": ""hotel"", ""website"": ""https://www.booking.com/hotel/cr/vista-verde.en-gb.html?aid=356980""}"
Casa Cerise,hotel,9.6401688,-82.7154033,"{""name"": ""Casa Cerise"", ""tourism"": ""hotel""}"
Home Naranjo,hotel,9.634586,-82.7278696,"{""addr:street"": ""Calle Margarita"", ""name"": ""Home Naranjo"", ""tourism"": ""guest_house""}"
Casa Naranjo,hotel,9.6345445,-82.7278628,"{""name"": ""Casa Naranjo"", ""tourism"": ""guest_house""}"
Puerto Viejo Club & Casitas,hotel,9.6556132,-82.7731058,"{""name"": ""Puerto Viejo Club & Casitas"", ""tourism"": ""guest_house""}"
Paula's and Daniel's Homestay,hotel,9.6566042,-82.744193,"{""air_conditioning"": ""yes"", ""description"": ""8500-11500 colon per night, kitchen included"", ""internet_access"": ""wlan"", ""name"": ""Paula's and Daniel's Homestay"", ""opening_hours"": ""24/7"", ""phone"": ""+50683044376"", ""shower"": ""yes"", ""tourism"": ""apartment""}"
Sonora Jungle Beach Retreat,hotel,9.6593927,-82.787194,"{""name"": ""Sonora Jungle Beach Retreat"", ""tourism"": ""hotel""}"
Villas Lomas del Caribe,hotel,9.636715,-82.7234327,"{""addr:city"": ""Cahuita"", ""name"": ""Villas Lomas del Caribe"", ""tourism"": ""hotel""}"
Chilamate,hotel,9.6532291,-82.7654998,"{""name"": ""Chilamate"", ""tourism"": ""hotel""}"
Casa Trinidad,hotel,9.6568213,-82.7488544,"{""addr:postcode"": ""70403"", ""email"": ""psalmeron1969@gmail.com"", ""internet_access"": ""yes"", ""internet_access:fee"": ""customers"", ""name"": ""Casa Trinidad"", ""operator"": ""+50687047926"", ""tourism"": ""chalet""}"
Casa Tuareg,hotel,9.6563765,-82.748938,"{""addr:city"": ""Puerto Viejo"", ""addr:postcode"": ""70403"", ""addr:street"": ""Calle 221"", ""email"": ""psalmeron1969@gmail.com"", ""internet_access"": ""yes"", ""internet_access:fee"": ""customers"", ""name"": ""Casa Tuareg"", ""operator"": ""+50687047926"", ""tourism"": ""chalet""}"
Casa Badawi,hotel,9.6567388,-82.7486162,"{""addr:city"": ""Puerto Viejo"", ""addr:postcode"": ""70403"", ""addr:street"": ""BADAWI STREET"", ""description"": ""Casa Badawi, es tu puerta al Paraíso, en el centro de Puerto Viejo en una calle muy tranquila a 400 m de la playa de Salsa Brava, muy cerca de restaurantes, supermercados etc. Construida en madera, elevada del suelo al estilo caribeño, con un techo de pal"", ""email"": ""psalmeron1969@gmail.com"", ""internet_access"": ""yes"", ""internet_access:fee"": ""customers"", ""name"": ""Casa Badawi"", ""operator"": ""+50687047926"", ""phone"": ""+50687047926"", ""tourism"": ""chalet"", ""website"": ""https://airbnb.co.cr/h/casabadawi""}"
Jungle Beach Bungalow,hotel,9.6482268,-82.7405805,"{""name"": ""Jungle Beach Bungalow"", ""tourism"": ""chalet""}"
Cabinas Orange Green,hotel,9.6593823,-82.7492074,"{""name"": ""Cabinas Orange Green"", ""phone"": ""44016057"", ""tourism"": ""hotel""}"
Hotel Relax Natural Village,hotel,9.643164,-82.7333523,"{""addr:city"": ""Cocles, Talamanca"", ""addr:housenumber"": ""Contiguo al Super Negro 120 metros oeste final de calle porton azul"", ""addr:postcode"": ""70403"", ""air_conditioning"": ""no"", ""email"": ""info@relaxnaturalvillage.com"", ""internet_access"": ""yes"", ""internet_access:fee"": ""no"", ""name"": ""Hotel Relax Natural Village"", ""payment:contactless"": ""yes"", ""payment:credit_cards"": ""yes"", ""payment:mastercard"": ""yes"", ""payment:visa"": ""yes"", ""phone"": ""+50627568160"", ""start_date"": ""2015/12/20"", ""tourism"": ""hotel"", ""website"": ""https://www.relaxnaturalvillage.com/Home/fbclid/IwY2xjawEWYSlleHRuA2FlbQIxMQABHYRFDn7k8N8BHS0pMRZ6KVt4IIGHpj2ORE-ckK3EavXrO91Q2OEZ6eMFBg_aem_yaDRDsWWbouWura_47sXmQ"", ""wheelchair"": ""yes""}"
Hotel Sunshine Caribe,hotel,9.6526495,-82.7577571,"{""air_conditioning"": ""yes"", ""check_date"": ""2023-01-11"", ""internet_access"": ""wlan"", ""internet_access:fee"": ""no"", ""name"": ""Hotel Sunshine Caribe"", ""name:en"": ""Hotel Sunshine Caribe"", ""reservation"": ""yes"", ""tourism"": ""hotel"", ""website"": ""https://www.booking.com/hotel/cr/sunshine-caribe.en-gb.html""}"
Harmony: Mini Casa Rodante by Aptos Casa Caribe,hotel,9.6500053,-82.7613801,"{""addr:city"": ""Puerto Viejo"", ""addr:postcode"": ""70403"", ""addr:street"": ""Calle Los Turrialbeños"", ""air_conditioning"": ""yes"", ""description"": ""Harmony, nuestra mini casa sobre ruedas, es un alojamiento excepcional e único, con concepto que hará de tus vacaciones en el Caribe de Costa Rica una experiencia inolvidable."", ""email"": ""aptoscasacaribecr@gmail.com"", ""guest_house"": ""house"", ""internet_access"": ""wlan"", ""internet_access:fee"": ""no"", ""name"": ""Harmony: Mini Casa Rodante by Aptos Casa Caribe"", ""operator"": ""Inversiones PJ Kuanza S.A"", ""payment:american_express"": ""yes"", ""payment:apple_pay"": ""yes"", ""payment:contactless"": ""yes"", ""payment:credit_cards"": ""yes"", ""payment:diners_club"": ""yes"", ""payment:discover_card"": ""yes"", ""payment:jcb"": ""yes"", ""payment:maestro"": ""yes"", ""payment:mastercard"": ""yes"", ""payment:paypal"": ""yes"", ""payment:tab_for_bussinees"": ""yes"", ""payment:visa"": ""yes"", ""payment:visa_debit"": ""yes"", ""payment:visa_electron"": ""yes"", ""phone"": ""+506 8873 3707"", ""rooms"": ""2"", ""tourism"": ""guest_house"", ""website"": ""https://www.aptocasacaribecr.com/""}"
Hotel Mandacaru,hotel,9.6587397,-82.7505555,"{""check_date"": ""2024-12-05"", ""name"": ""Hotel Mandacaru"", ""tourism"": ""hotel""}"
Cabinas Wray,hotel,9.6526418,-82.762185,"{""internet_access"": ""wlan"", ""name"": ""Cabinas Wray"", ""phone"": ""506 8740 2102"", ""tourism"": ""chalet""}"
Hotel Aguas Claras,hotel,9.6428901,-82.720446,"{""bar"": ""yes"", ""name"": ""Hotel Aguas Claras"", ""phone"": ""+1 844-828-4277"", ""tourism"": ""hotel"", ""website"": ""https://hotelaguasclaras.com""}"
Restaurante Cariblue,restaurant,9.6514247,-82.7382801,"{""amenity"": ""restaurant"", ""name"": ""Restaurante Cariblue"", ""source"": ""KG Ground Survey 2015""}"
La Costa de Papito,restaurant,9.64974,-82.73665,"{""amenity"": ""restaurant"", ""name"": ""La Costa de Papito"", ""source"": ""KG Ground Survey 2015""}"
Restaurante Isma,restaurant,9.6563655,-82.7548601,"{""amenity"": ""restaurant"", ""name"": ""Restaurante Isma"", ""source"": ""KG Ground Survey 2015""}"
Restaurante Miss Sam,restaurant,9.6561414,-82.7523137,"{""amenity"": ""restaurant"", ""name"": ""Restaurante Miss Sam""}"
Restaurante El Dorado,restaurant,9.6572236,-82.754042,"{""amenity"": ""restaurant"", ""name"": ""Restaurante El Dorado""}"
GLOW,restaurant,9.6573819,-82.7536162,"{""amenity"": ""pub"", ""name"": ""GLOW""}"
Pollo Rapido,restaurant,9.6555628,-82.7541784,"{""amenity"": ""fast_food"", ""cuisine"": ""chicken"", ""name"": ""Pollo Rapido"", ""source"": ""KG Ground Survey 2015""}"
Stanford Lazy Mon,restaurant,9.6584991,-82.7522316,"{""amenity"": ""bar"", ""name"": ""Stanford Lazy Mon""}"
Chili Rojo,restaurant,9.6571363,-82.7541491,"{""amenity"": ""restaurant"", ""name"": ""Chili Rojo""}"
El Paso,restaurant,9.6590538,-82.7501517,"{""amenity"": ""restaurant"", ""cuisine"": ""seafood"", ""designation"": ""fine food"", ""name"": ""El Paso"", ""source"": ""KG Ground Survey 2015""}"
Alice,restaurant,9.637877,-82.7117231,"{""amenity"": ""ice_cream"", ""internet_access"": ""wlan"", ""internet_access:fee"": ""no"", ""level"": ""0"", ""name"": ""Alice"", ""outdoor_seating"": ""no"", ""takeaway"": ""yes""}"
BriBri Springs Brewery,restaurant,9.6538056,-82.7584749,"{""amenity"": ""restaurant"", ""craft"": ""brewery"", ""name"": ""BriBri Springs Brewery""}"
Café Rico,restaurant,9.6572005,-82.7527989,"{""amenity"": ""cafe"", ""name"": ""Café Rico""}"
Tiaré,restaurant,9.6587873,-82.7485545,"{""amenity"": ""cafe"", ""cuisine"": ""italian"", ""description"": ""Italian pastry and bakery"", ""name"": ""Tiaré"", ""opening_hours"": ""Tu-Su 07:30-14:00""}"
Lecheria Las Lapas,restaurant,9.6562118,-82.755865,"{""amenity"": ""ice_cream"", ""check_date"": ""2024-04-24"", ""name"": ""Lecheria Las Lapas""}"
Soda Caribbean,restaurant,9.6560898,-82.753399,"{""amenity"": ""cafe"", ""cuisine"": ""caribbean"", ""name"": ""Soda Caribbean""}"
Solo Bueno,restaurant,9.6465106,-82.7829716,"{""amenity"": ""fast_food"", ""cuisine"": ""pizza"", ""name"": ""Solo Bueno""}"
Tamara Caribbean Restaurant,restaurant,9.6573083,-82.7538382,"{""amenity"": ""restaurant"", ""name"": ""Tamara Caribbean Restaurant""}"
Panadería y Cafetería,restaurant,9.6563104,-82.7550068,"{""amenity"": ""cafe"", ""name"": ""Panadería y Cafetería""}"
El Rincon Porteño,restaurant,9.6431403,-82.7232322,"{""amenity"": ""restaurant"", ""cuisine"": ""argentinian"", ""name"": ""El Rincon Porteño""}"
Ocho nani,restaurant,9.6576237,-82.7552321,"{""amenity"": ""ice_cream"", ""check_date"": ""2024-04-23"", ""name"": ""Ocho nani"", ""opening_hours"": ""Tu-Su 13:00-18:00""}"
La NENA,restaurant,9.6445669,-82.7299041,"{""amenity"": ""restaurant"", ""name"": ""La NENA""}"
Río Negro,restaurant,9.6439079,-82.7320862,"{""amenity"": ""restaurant"", ""check_date"": ""2024-12-04"", ""cuisine"": ""italian;burger"", ""diet:vegan"": ""yes"", ""diet:vegetarian"": ""yes"", ""name"": ""Río Negro"", ""outdoor_seating"": ""yes"", ""phone"": ""+506 2750 0155"", ""takeaway"": ""yes""}"
Zaika Indian Cuisine Bar & Grill,restaurant,9.6434257,-82.7263676,"{""amenity"": ""restaurant"", ""cuisine"": ""indian"", ""name"": ""Zaika Indian Cuisine Bar & Grill""}"
Soda Elisabeth,restaurant,9.6569348,-82.7532327,"{""amenity"": ""restaurant"", ""name"": ""Soda Elisabeth""}"
Reggae Chill,restaurant,9.6527167,-82.7397655,"{""amenity"": ""restaurant"", ""check_date"": ""2022-10-24"", ""diet:vegetarian"": ""yes"", ""internet_access"": ""wlan"", ""internet_access:fee"": ""customers"", ""name"": ""Reggae Chill""}"
Soda Monarca,restaurant,9.644249,-82.7310012,"{""amenity"": ""restaurant"", ""name"": ""Soda Monarca""}"
Apetito Express,restaurant,9.6481339,-82.7905342,"{""amenity"": ""fast_food"", ""name"": ""Apetito Express""}"
Soda Fiquiimu,restaurant,9.6566863,-82.7702891,"{""amenity"": ""bar"", ""cuisine"": ""american;local"", ""name"": ""Soda Fiquiimu"", ""name:en"": ""Soda Riquisimo"", ""name:es"": ""Soda Riquisimo""}"
Isla Cocteles,restaurant,9.6521074,-82.7389469,"{""amenity"": ""restaurant"", ""name"": ""Isla Cocteles""}"
Da Lime Beach Club & Restaurant,restaurant,9.6444422,-82.7197417,"{""amenity"": ""restaurant"", ""name"": ""Da Lime Beach Club & Restaurant"", ""opening_hours"": ""Mo-Su 11:00-17:00"", ""phone"": ""+50627500131""}"
Frio Divino,restaurant,9.6587587,-82.7504111,"{""amenity"": ""ice_cream"", ""check_date"": ""2024-12-05"", ""name"": ""Frio Divino""}"
Puerto Viejo de Talamanca,restaurant,9.6496543,-82.7750879,"{""addr:housenumber"": ""256"", ""addr:street"": ""Vía 256"", ""amenity"": ""restaurant"", ""cuisine"": ""caribbean"", ""internet_access"": ""wlan"", ""name"": ""Puerto Viejo de Talamanca"", ""opening_hours"": ""We,Fr-Sa,Th,Mo,Su 11:00-22:00"", ""phone"": ""+506 8447-7485"", ""website"": ""https://www.facebook.com/cholasplace""}"
exchange,services,9.6578056,-82.7549653,"{""amenity"": ""bank"", ""name"": ""exchange""}"
MaNú,services,9.6588036,-82.7494491,"{""amenity"": ""bicycle_rental"", ""name"": ""MaNú"", ""source"": ""KG Ground Survey 2015""}"
