pvs_name,osm_name,match_score,pvs_category,osm_category,pvs_area,osm_lat,osm_lon,pvs_instagram,pvs_phone,pvs_verified,pvs_url
Amimodo Beach Rooms,Amimodo,0.7,hotel,restaurant,Puerto Viejo,9.6589731,-82.750556,,+506 2750 0257,2026-03-22,https://www.puertoviejosatellite.com/en/puerto-viejo/amimodo-beach-rooms/
Bungalows Calalú,Bungalows CALALÚ,1.0,hotel,hotel,Puerto Viejo,9.6579828,-82.7494002,,+506 2750 0042,2025-06-08,https://www.puertoviejosatellite.com/en/puerto-viejo/bungalows-calalu/
Cabinas Los Almendros,Cabinas Los Almendros,1.0,hotel,hotel,Puerto Viejo,9.6577184,-82.7549894,,+506 2750 0235,2026-01-30,https://www.puertoviejosatellite.com/en/puerto-viejo/cabinas-los-almendros/
Cabinas Guarana,Cabinas Guarana,1.0,hotel,hostel,Puerto Viejo,9.6556024,-82.7538449,guarana.puertoviejo,+506 2750 0244,2026-03-22,https://www.puertoviejosatellite.com/en/puerto-viejo/cabinas-guarana/
Cabinas Jacaranda,Jacaranda,0.7,hotel,hotel,Puerto Viejo,9.6551805,-82.7523597,,+506 2750-0069,2026-03-20,https://www.puertoviejosatellite.com/en/puerto-viejo/cabinas-jacaranda/
Cabinas Monte Sol,Monte Sol,0.7,hotel,hotel,Puerto Viejo,9.6577132,-82.7490971,,+506 2750 0098,2026-03-04,https://www.puertoviejosatellite.com/en/puerto-viejo/cabinas-monte-sol/
Cabinas Mor,Cabinas & Caribbean House MOR,0.7,hotel,hotel,Puerto Viejo,9.6562905,-82.7527317,,+506 2750 0145,2026-01-27,https://www.puertoviejosatellite.com/en/puerto-viejo/cabinas-mor/
Casitas La Playa,Casitas La Playa,1.0,hotel,hotel,Puerto Viejo,9.6579689,-82.7458301,,+506 5008 2987,2026-03-23,https://www.puertoviejosatellite.com/en/puerto-viejo/casitas-la-playa/
Chinuk Boutique Hotel,Olinca Boutique Hotel,0.7,hotel,hotel,Puerto Viejo,9.657691,-82.7501328,chinuk_rentals_cr,+506 6055 5149,2026-05-15,https://www.puertoviejosatellite.com/en/puerto-viejo/chinuk-boutique-hotel/
Conga Boutique Hotel,Hotel Blue Conga,0.7,hotel,hotel,Puerto Viejo,9.6563914,-82.7454319,,+506 2750 0681,2026-03-24,https://www.puertoviejosatellite.com/en/puerto-viejo/conga-boutique-hotel/
Escape Caribeño,Escape Caribeño,1.0,hotel,hotel,Puerto Viejo,9.6588858,-82.7488707,,+506 2750 0103,2026-03-19,https://www.puertoviejosatellite.com/en/puerto-viejo/escape-caribeno/
Indalo Hotel Boutique,Hotel Indalo,0.7,hotel,hotel,Puerto Viejo,9.6563546,-82.750528,,+506 2750 0826,2026-03-28,https://www.puertoviejosatellite.com/en/puerto-viejo/indalo-hotel-boutique/
Lizard King Hotel,Lizard King Resort,0.7,hotel,hotel,Puerto Viejo,9.6588229,-82.750128,,+506 2750 0614,2026-03-30,https://www.puertoviejosatellite.com/en/puerto-viejo/lizard-king-hotel/
Maritza Hotel,Hotel Maritza,1.0,hotel,hotel,Puerto Viejo,9.6569312,-82.7552227,,+506 2750 0003,2026-03-22,https://www.puertoviejosatellite.com/en/puerto-viejo/maritza-hotel/
Olinca Boutique Hotel,Olinca Boutique Hotel,1.0,hotel,hotel,Puerto Viejo,9.657691,-82.7501328,olincaboutiquehotel,+506 2229 5495,2026-03-30,https://www.puertoviejosatellite.com/en/puerto-viejo/olinca-boutique-hotel/
La Tica y La Gata,La Tica y la Gata,1.0,hotel,hotel,Puerto Viejo,9.6569866,-82.7470951,laticaylagata,+506 8756 0823,2026-05-21,https://www.puertoviejosatellite.com/en/puerto-viejo/la-tica-y-la-gata/
Yucca Beachfront Hotel,Hotel Perla Negra Beachfront,0.7,hotel,hotel,Puerto Viejo,9.6575633,-82.7718941,cabinasyuccahotel,+506 2750 0285,2026-03-25,https://www.puertoviejosatellite.com/en/puerto-viejo/yucca-beachfront-hotel/
"Banana Azul - Playa Negra, Puerto Viejo, Limón, Costa Rica",Selina Puerto Viejo,0.7,hotel,hostel,Playa Negra,9.6566557,-82.7433858,hotelbananaazul,+506 2750-2035,2026-03-04,https://www.puertoviejosatellite.com/en/playa-negra/banana-azul/
"Cabinas Kuákua - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa negra brewing,0.7,hotel,restaurant,Playa Negra,9.653791,-82.7585949,cabinaskuakua,+506 8960 7794,2025-02-28,https://www.puertoviejosatellite.com/en/playa-negra/cabinas-kuakua/
"Casa Luce - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa negra brewing,0.7,hotel,restaurant,Playa Negra,9.653791,-82.7585949,,+506 8953 6016,2025-12-16,https://www.puertoviejosatellite.com/en/playa-negra/casa-luce/
"Casitas Las Flores - Playa Negra, Puerto Viejo, Limón, Costa Rica",Casitas La Playa,0.7,hotel,hotel,Playa Negra,9.6579689,-82.7458301,,+506 8343 7810,2025-12-17,https://www.puertoviejosatellite.com/en/playa-negra/casitas-las-flores/
"Hidden Jungle Beach House - Playa Negra, Puerto Viejo, Limón, Costa Rica",Jungle Green House,0.7,hotel,hotel,Playa Negra,9.6350194,-82.7129835,hidden.jungle.beach.house,+506 8310 5061,2026-05-21,https://www.puertoviejosatellite.com/en/playa-negra/hidden-jungle-beach-house/
"Hotel One Love - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa negra brewing,0.7,hotel,restaurant,Playa Negra,9.653791,-82.7585949,,+506 8408 8073,2025-04-23,https://www.puertoviejosatellite.com/en/playa-negra/hotel-one-love/
"Iguana Lodge - Playa Negra, Puerto Viejo, Limón, Costa Rica",Selina Puerto Viejo,0.7,hotel,hostel,Playa Negra,9.6566557,-82.7433858,,+506 6353 5394,2025-12-15,https://www.puertoviejosatellite.com/en/playa-negra/iguana-lodge/
"Kaya's Place - Playa Negra, Puerto Viejo, Limón, Costa Rica",Selina Puerto Viejo,0.7,hotel,hostel,Playa Negra,9.6566557,-82.7433858,,+506 2750-0690,2025-07-28,https://www.puertoviejosatellite.com/en/playa-negra/kayas-place/
"Mecca - Playa Negra, Puerto Viejo, Limón, Costa Rica",Selina Puerto Viejo,0.7,hotel,hostel,Playa Negra,9.6566557,-82.7433858,mecca_pv,,2025-12-14,https://www.puertoviejosatellite.com/en/playa-negra/mecca/
"Olivia del Caribe - Playa Negra, Puerto Viejo, Limón, Costa Rica",Frutas del Caribe,0.7,hotel,shopping,Playa Negra,9.6575838,-82.7979967,oliviadelcaribe,+506 6273 7485,2025-10-01,https://www.puertoviejosatellite.com/en/playa-negra/olivia-del-caribe/
"Perla Negra Beachfront - Playa Negra, Puerto Viejo, Limón, Costa Rica",Selina Puerto Viejo,0.7,hotel,hostel,Playa Negra,9.6566557,-82.7433858,perla_negra_beachfront,+506 8301 5726,2026-05-27,https://www.puertoviejosatellite.com/en/playa-negra/perla-negra-beachfront/
"La Prometida - Playa Negra, Puerto Viejo, Limón, Costa Rica",Selina Puerto Viejo,0.7,hotel,hostel,Playa Negra,9.6566557,-82.7433858,laprometidahotel,,2026-02-13,https://www.puertoviejosatellite.com/en/playa-negra/la-prometida/
"Saranda Hotel Boutique - Playa Negra, Puerto Viejo, Limón, Costa Rica",Saranda,0.7,hotel,hotel,Playa Negra,9.6552424,-82.7690251,sarandaboutiquehotel,+506 8347 9333,2025-12-31,https://www.puertoviejosatellite.com/en/playa-negra/saranda-hotel-boutique/
"Sonora Jungle Retreat - Playa Negra, Puerto Viejo, Limón, Costa Rica",Selina Puerto Viejo,0.7,hotel,hostel,Playa Negra,9.6566557,-82.7433858,sonorajungleretreat,+506 4600 1111,2026-03-25,https://www.puertoviejosatellite.com/en/playa-negra/sonora-jungle-retreat/
"Sunshine Caribe - Playa Negra, Puerto Viejo, Limón, Costa Rica",Selina Puerto Viejo,0.7,hotel,hostel,Playa Negra,9.6566557,-82.7433858,,+506 2750 0401,2025-08-01,https://www.puertoviejosatellite.com/en/playa-negra/sunshine-caribe/
"Villas Allen - Playa Negra, Puerto Viejo, Limón, Costa Rica",VIllas Allen,0.7,hotel,hotel,Playa Negra,9.6507855,-82.763219,,+506 2756 8327,2025-07-02,https://www.puertoviejosatellite.com/en/playa-negra/villas-allen/
"Azania Bungalows - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Selina Puerto Viejo,0.7,hotel,hostel,Cocles,9.6566557,-82.7433858,,+506 2750-0540,2025-06-29,https://www.puertoviejosatellite.com/en/cocles/azania-bungalows/
"Bambutel - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Selina Puerto Viejo,0.7,hotel,hostel,Cocles,9.6566557,-82.7433858,,+506 7290 5459,2025-08-07,https://www.puertoviejosatellite.com/en/cocles/bambutel/
"Cabañas Cocles - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Selina Puerto Viejo,0.7,hotel,hostel,Cocles,9.6566557,-82.7433858,cabanascocles,+506 8870 0110,2025-08-19,https://www.puertoviejosatellite.com/en/cocles/cabanas-cocles/
"Cabinas Ole Caribe - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Backpackers Puerto Viejo,0.7,hotel,hostel,Cocles,9.657612,-82.7519744,,+506 2750 0455,2025-03-11,https://www.puertoviejosatellite.com/en/cocles/cabinas-ole-caribe/
"Caribe Town Resort - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Selina Puerto Viejo,0.7,hotel,hostel,Cocles,9.6566557,-82.7433858,,+506 2750 2034,2026-03-04,https://www.puertoviejosatellite.com/en/cocles/caribe-town-resort/
"Cariblue Beach and Jungle Resort - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Backpackers Puerto Viejo,0.7,hotel,hostel,Cocles,9.657612,-82.7519744,caribluehotel,+506 2750 0518,2026-02-24,https://www.puertoviejosatellite.com/en/cocles/cariblue-beach-and-jungle-resort/
"Colina Secreta - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Selina Puerto Viejo,0.7,hotel,hostel,Cocles,9.6566557,-82.7433858,,+506 83509066,2026-02-20,https://www.puertoviejosatellite.com/en/cocles/colina-secreta/
"La Costa de Papito - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Selina Puerto Viejo,0.7,hotel,hostel,Cocles,9.6566557,-82.7433858,,+506 2750-0080,2025-07-27,https://www.puertoviejosatellite.com/en/cocles/la-costa-de-papito/
"Los Delfines Lodge - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Backpackers Puerto Viejo,0.7,hotel,hostel,Cocles,9.657612,-82.7519744,,+506 2750 0431,2025-12-18,https://www.puertoviejosatellite.com/en/cocles/los-delfines-lodge/
"Hotel Bugabutik - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Hotel Bugabutik,0.7,hotel,hotel,Cocles,9.6313346,-82.7279752,,+506 2750 2012,2025-08-27,https://www.puertoviejosatellite.com/en/cocles/hotel-bugabutik/
"La Isla Inn - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Selina Puerto Viejo,0.7,hotel,hostel,Cocles,9.6566557,-82.7433858,,+506 2750 0109,2025-09-02,https://www.puertoviejosatellite.com/en/cocles/la-isla-inn/
"Lanna Ban Hotel - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Backpackers Puerto Viejo,0.7,hotel,hostel,Cocles,9.657612,-82.7519744,,+506 2750 3053,2025-09-01,https://www.puertoviejosatellite.com/en/cocles/lanna-ban-hotel/
"Le Caméléon - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Selina Puerto Viejo,0.7,hotel,hostel,Cocles,9.6566557,-82.7433858,,+506 2750 0501,2025-09-02,https://www.puertoviejosatellite.com/en/cocles/le-cameleon/
"La Magia Bungalows - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Selina Puerto Viejo,0.7,hotel,hostel,Cocles,9.6566557,-82.7433858,,+506 2750 3122,2025-12-16,https://www.puertoviejosatellite.com/en/cocles/la-magia-bungalows/
"La Paz del Caribe - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Frutas del Caribe,0.7,hotel,shopping,Cocles,9.6575838,-82.7979967,,+506 8831 1684,2026-02-20,https://www.puertoviejosatellite.com/en/cocles/la-paz-del-caribe/
"Physis Caribbean Bed & Breakfast - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Selina Puerto Viejo,0.7,hotel,hostel,Cocles,9.6566557,-82.7433858,,+506 8866 4405,2025-12-08,https://www.puertoviejosatellite.com/en/cocles/physis-caribbean-bed-and-breakfast/
"Pipa Lodge - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Selina Puerto Viejo,0.7,hotel,hostel,Cocles,9.6566557,-82.7433858,pipalodgecr,+506 8940 9767,2025-08-20,https://www.puertoviejosatellite.com/en/cocles/pipa-lodge/
"Relax Natural Village - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Selina Puerto Viejo,0.7,hotel,hostel,Cocles,9.6566557,-82.7433858,,+506 2756 8160,2025-12-08,https://www.puertoviejosatellite.com/en/cocles/relax-natural-village/
"Satta Lodge - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Selina Puerto Viejo,0.7,hotel,hostel,Cocles,9.6566557,-82.7433858,sattalodge,+506 8308 5834,2026-03-31,https://www.puertoviejosatellite.com/en/cocles/satta-lodge/
"Casa Merlin Lodge - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Casa Camarona Lodge,0.7,hotel,hotel,Playa Chiquita,9.6521348,-82.7517995,,+506 2750 0581,2025-09-06,https://www.puertoviejosatellite.com/en/playa-chiquita/casa-merlin-lodge/
"Casitas Mar y Luz - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Casitas La Playa,0.7,hotel,hotel,Playa Chiquita,9.6579689,-82.7458301,,+506 2750 0686,2025-09-05,https://www.puertoviejosatellite.com/en/playa-chiquita/casitas-mar-y-luz/
"Green Jungle House - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Jungle Green House,0.7,hotel,hotel,Playa Chiquita,9.6350194,-82.7129835,,+506 8475 3859,2025-09-04,https://www.puertoviejosatellite.com/en/playa-chiquita/green-jungle-house/
"Hotel Aguas Claras - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Backpackers Puerto Viejo,0.7,hotel,hostel,Playa Chiquita,9.657612,-82.7519744,hotelaguasclaras,+506 2750-0131,2026-03-07,https://www.puertoviejosatellite.com/en/playa-chiquita/hotel-aguas-claras/
"Hotel Kasha - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Backpackers Puerto Viejo,0.7,hotel,hostel,Playa Chiquita,9.657612,-82.7519744,,+506 2750 0859,2025-08-24,https://www.puertoviejosatellite.com/en/playa-chiquita/hotel-kasha/
"Jaguar Inn Bungalows - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Selina Puerto Viejo,0.7,hotel,hostel,Playa Chiquita,9.6566557,-82.7433858,,+506 2750 0710,2025-12-04,https://www.puertoviejosatellite.com/en/playa-chiquita/jaguar-inn-bungalows/
"La Kukula Lodge - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Selina Puerto Viejo,0.7,hotel,hostel,Playa Chiquita,9.6566557,-82.7433858,lakukulalodge,+506 2750 0653,2026-03-05,https://www.puertoviejosatellite.com/en/playa-chiquita/la-kukula-lodge/
"Mar Verde Lodge - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Selina Puerto Viejo,0.7,hotel,hostel,Playa Chiquita,9.6566557,-82.7433858,,+506 8496 2464,2025-11-27,https://www.puertoviejosatellite.com/en/playa-chiquita/mar-verde-lodge/
"Namuwoki Lodge - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Selina Puerto Viejo,0.7,hotel,hostel,Playa Chiquita,9.6566557,-82.7433858,namuwokilodge,+506 2750 0278,2025-08-06,https://www.puertoviejosatellite.com/en/playa-chiquita/namuwoki-lodge/
"El Nido Jungle Lodge - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Backpackers Puerto Viejo,0.7,hotel,hostel,Playa Chiquita,9.657612,-82.7519744,elnidolodge,,2025-08-23,https://www.puertoviejosatellite.com/en/playa-chiquita/el-nido-jungle-lodge/
"Shawandha Lodge - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Selina Puerto Viejo,0.7,hotel,hostel,Playa Chiquita,9.6566557,-82.7433858,shawandha_ecolodge,+506 2750 0018,2026-01-28,https://www.puertoviejosatellite.com/en/playa-chiquita/shawandha-lodge/
"Tierra de Suenos Lodge - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Selina Puerto Viejo,0.7,hotel,hostel,Playa Chiquita,9.6566557,-82.7433858,,+506 2750 0378,2025-08-11,https://www.puertoviejosatellite.com/en/playa-chiquita/tierra-de-suenos-lodge/
"Tree House Lodge - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Selina Puerto Viejo,0.7,hotel,hostel,Playa Chiquita,9.6566557,-82.7433858,,+506 2750-0706,2026-03-02,https://www.puertoviejosatellite.com/en/playa-chiquita/tree-house-lodge/
"Villas del Caribe - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Frutas del Caribe,0.7,hotel,shopping,Playa Chiquita,9.6575838,-82.7979967,hotelvillasdelcaribe,+506 2750 0202,2025-12-13,https://www.puertoviejosatellite.com/en/playa-chiquita/villas-del-caribe/
"Awa Beach Boutique Hotel - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",Backpackers Puerto Viejo,0.7,hotel,hostel,Punta Uva,9.657612,-82.7519744,,+506 2759 9180,2025-12-11,https://www.puertoviejosatellite.com/en/punta-uva/awa-beach-boutique-hotel/
"La Ceiba Nature Reserve - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",Selina Puerto Viejo,0.7,hotel,hostel,Punta Uva,9.6566557,-82.7433858,,+506 2750 0710,2025-07-10,https://www.puertoviejosatellite.com/en/punta-uva/la-ceiba-nature-reserve/
"Pachamama Jungle River Lodge - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",Backpackers Puerto Viejo,0.7,hotel,hostel,Punta Uva,9.657612,-82.7519744,,+506 8456-6508,2025-12-17,https://www.puertoviejosatellite.com/en/punta-uva/pachamama-jungle-river-lodge/
"Cabinas Kinawe - Hone Creek, Limón, Costa Rica",Kinawe Cabinas,0.7,hotel,hotel,Hone Creek,9.648193,-82.7777331,kinawe_cabinas,+506 2756 8476,2026-05-21,https://www.puertoviejosatellite.com/en/hone-creek/cabinas-kinawe/
"Casa Conley Del Mar - Hone Creek, Limón, Costa Rica",Casa del Chocolate,0.7,hotel,shopping,Hone Creek,9.6480516,-82.7624995,,+506 8494 8131,2025-08-28,https://www.puertoviejosatellite.com/en/hone-creek/casa-conley-del-mar/
"Hotel Hawa - Hone Creek, Limón, Costa Rica",Hotel Hawa,0.7,hotel,hotel,Hone Creek,9.6473518,-82.7816296,,+506 2750 0594,2025-09-01,https://www.puertoviejosatellite.com/en/hone-creek/hotel-hawa/
"Century 21 Caribe - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Selina Puerto Viejo,0.7,real_estate,hostel,Playa Chiquita,9.6566557,-82.7433858,c21caribe,+506 2750 0602,2025-10-01,https://www.puertoviejosatellite.com/en/playa-chiquita/century-21-caribe/
RISE Puerto Viejo,Selina Puerto Viejo,0.7,real_estate,hostel,Puerto Viejo,9.6566557,-82.7433858,risecaribe,+506 8366 7578,2026-05-21,https://www.puertoviejosatellite.com/en/puerto-viejo/rise-puerto-viejo/
"Green Property Management - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Selina Puerto Viejo,0.7,real_estate,hostel,Playa Chiquita,9.6566557,-82.7433858,greenmanagementcr,+506  2750 0437,2025-09-09,https://www.puertoviejosatellite.com/en/playa-chiquita/green-property-management/
"Tasty Waves Cantina - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Tasty Waves Cantina,0.7,restaurant,restaurant,Cocles,9.6534909,-82.7406628,tastywavescantina,+506 2750 0507,2026-02-19,https://www.puertoviejosatellite.com/en/cocles/tasty-waves-cantina/
Amimodo Restaurant,Amimodo,0.7,restaurant,restaurant,Puerto Viejo,9.6589731,-82.750556,restauranteamimodo,+506 2750 0257,2026-03-12,https://www.puertoviejosatellite.com/en/puerto-viejo/amimodo-restaurant/
"Arrecife Hotel y Restaurante - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",Backpackers Puerto Viejo,0.7,restaurant,hostel,Punta Uva,9.657612,-82.7519744,arrecifepuntauva,+506 2759 9200,2026-02-17,https://www.puertoviejosatellite.com/en/punta-uva/arrecife-hotel-y-restaurante/
"Azul Bar and Grill - Playa Negra, Puerto Viejo, Limón, Costa Rica",Selina Puerto Viejo,0.7,restaurant,hostel,Playa Negra,9.6566557,-82.7433858,,+506 2750-2035,2025-07-03,https://www.puertoviejosatellite.com/en/playa-negra/azul-bar-and-grill/
"Beach Break Restaurant - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Selina Puerto Viejo,0.7,restaurant,hostel,Cocles,9.6566557,-82.7433858,beachbreak_cocles,+506 8304 0043,2025-07-01,https://www.puertoviejosatellite.com/en/cocles/beach-break-restaurant/
"Casa Rio Restaurant & Bar - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Backpackers Puerto Viejo,0.7,restaurant,hostel,Cocles,9.657612,-82.7519744,rionegrocr,+506 8582 4000,2025-10-01,https://www.puertoviejosatellite.com/en/cocles/casa-rio-restaurant-and-bar/
La Casita de Monli,La Casita de Monli,1.0,restaurant,restaurant,Puerto Viejo,9.6567089,-82.7534834,lacasitademonli,+506 8312 2619,2026-03-24,https://www.puertoviejosatellite.com/en/puerto-viejo/la-casita-de-monli/
"El Chante de Moncho - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Selina Puerto Viejo,0.7,restaurant,hostel,Cocles,9.6566557,-82.7433858,elchantedemoncho,+506 8314 7444,2025-12-15,https://www.puertoviejosatellite.com/en/cocles/el-chante-de-moncho/
Cocomar Comida Caribeña,Cocomar Comida Caribeña,1.0,restaurant,restaurant,Puerto Viejo,9.6569001,-82.7546627,cocomarpuertoviejo,+506 2750-3227,2026-02-26,https://www.puertoviejosatellite.com/en/puerto-viejo/cocomar-comida-caribena/
La Esquina Boruca Pizzeria,La Esquina Boruca,0.75,restaurant,restaurant,Puerto Viejo,9.6574732,-82.7536737,laesquinaboruca,+506 2750 0180,2026-03-08,https://www.puertoviejosatellite.com/en/puerto-viejo/la-esquina-boruca-pizzeria/
"Gigi Beach - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Selina Puerto Viejo,0.7,restaurant,hostel,Cocles,9.6566557,-82.7433858,wearegigibeach,+506 8383 2176,2026-02-27,https://www.puertoviejosatellite.com/en/cocles/gigi-beach/
"GypSea Café - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Selina Puerto Viejo,0.7,restaurant,hostel,Playa Chiquita,9.6566557,-82.7433858,gypsea_cafe,+506 2750 2016,2025-07-21,https://www.puertoviejosatellite.com/en/playa-chiquita/gypsea-cafe/
"Il Fiore Rosso - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Selina Puerto Viejo,0.7,restaurant,hostel,Cocles,9.6566557,-82.7433858,ilfiorerossocr,+506 8402 3939,2025-12-15,https://www.puertoviejosatellite.com/en/cocles/il-fiore-rosso/
KOKi Beach,KoKi Beach,1.0,restaurant,restaurant,Puerto Viejo,9.6577884,-82.7525543,kokibeach,+506 8505 9191,2026-02-28,https://www.puertoviejosatellite.com/en/puerto-viejo/koki-beach/
"La Leyenda de L'Antico Forno en El Establo de Bruce - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Selina Puerto Viejo,0.7,restaurant,hostel,Playa Chiquita,9.6566557,-82.7433858,la_leyenda_pizzeria,,2025-08-19,https://www.puertoviejosatellite.com/en/playa-chiquita/la-leyenda-de-lantico-forno-en-el-establo-de-bruce/
"Lizzie 1872 - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Selina Puerto Viejo,0.7,restaurant,hostel,Cocles,9.6566557,-82.7433858,1872restaurant_,,2025-08-20,https://www.puertoviejosatellite.com/en/cocles/lizzie-1872/
"Mixta Comida y Cócteles - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Selina Puerto Viejo,0.7,restaurant,hostel,Playa Chiquita,9.6566557,-82.7433858,mixtacr,,2025-11-02,https://www.puertoviejosatellite.com/en/playa-chiquita/mixta-comida-y-cocteles/
Nanku,Nanku,1.0,restaurant,restaurant,Puerto Viejo,9.6577207,-82.7541115,nanku.puertoviejo,+506 8835 4041,2026-03-05,https://www.puertoviejosatellite.com/en/puerto-viejo/nanku/
"La Nena - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Selina Puerto Viejo,0.7,restaurant,hostel,Cocles,9.6566557,-82.7433858,,+506 2537 9791,2025-11-22,https://www.puertoviejosatellite.com/en/cocles/la-nena/
