business_name,category,area,latitude,longitude,distance_km,geofilter,geofilter_reason,coordinate_source,phone,normalized_phone,website,instagram_handle,instagram_url,facebook_url,google_maps_cid,verified_date,operating_status,url,instagram_enrich_source,instagram_enrich_date,instagram_enrich_confidence,instagram_confidence,ig_verified,ig_verify_date,whatsapp,email,tiktok_url,youtube_url,twitter_url,other_social_urls,description_full,booking_url,tripadvisor_url
Hotel Cariblue,hotel,Cocles,9.6504068,-82.7394595,1.616,pass,within_5km,osm,2750-0035,+50627500035,https://www.cariblue.com/,caribluehotel,https://www.instagram.com/caribluehotel/,,,2026-07-06,needs_verification,,website_crawl,2026-07-06,high,verified,true,2026-07-06,,,,,,,Discovered via osm_tags,,
Hotel Posada Nena,hotel,Puerto Viejo,9.6567029,-82.7513293,0.260,pass,within_5km,osm,27502064,+50627502064,https://www.posadanena.com/,,,,,2026-07-06,needs_verification,,osm_tags,2026-07-06,medium,unverified,false,,,,,,,,Discovered via osm_tags,,
Hotel Sunshine Caribe,hotel,Puerto Viejo,9.6526495,-82.7577571,0.576,pass,within_5km,osm,,,https://www.booking.com/hotel/cr/sunshine-caribe.en-gb.html,,,,,2026-07-06,needs_verification,,osm_tags,2026-07-06,medium,unverified,false,,,,,,,,Discovered via osm_tags,,
Lapalapa Beach Front Hotel,hotel,Cocles,9.6446765,-82.7282387,2.995,pass,within_5km,osm,+506 88178041,+50688178041,,,,,,2026-07-06,needs_verification,,osm_tags,2026-07-06,medium,unverified,false,,,,,,,,Discovered via osm_tags,,
Las Mariposas,hotel,Playa Chiquita,9.6446176,-82.7194702,3.897,pass,within_5km,osm,,,https://www.facebook.com/CabinasLasMariposas,,,,,2026-07-06,needs_verification,,osm_tags,2026-07-06,medium,unverified,false,,,,,,,,Discovered via osm_tags,,
Le Cameleon Boutique Hotel,hotel,Cocles,9.6441813,-82.7284542,2.996,pass,within_5km,osm,+506 2750 3096,+50627503096,https://www.lecameleonhotel.com/,lecameleonhotel,https://www.instagram.com/lecameleonhotel/,https://www.facebook.com/114755642575,,2026-07-06,needs_verification,,codex_web,2026-07-06,high,verified,true,2026-07-06,,,,,,,Discovered via codex_verified,,
Paula's and Daniel's Homestay,hotel,Puerto Viejo,9.6566042,-82.744193,1.007,pass,within_5km,osm,+50683044376,+50683044376,,,,,,2026-07-06,needs_verification,,osm_tags,2026-07-06,medium,unverified,false,,,,,,,,Discovered via osm_tags,,
Totem Hotel Resort & Restaurant,hotel,Cocles,9.6462422,-82.7322216,2.525,pass,within_5km,osm,2750-0758,+50627500758,http://www.totemhotel.com/es/,,,,,2026-07-06,needs_verification,,osm_tags,2026-07-06,medium,unverified,false,,,,,,,,Discovered via osm_tags,,
Vista Verde,hotel,Puerto Viejo,9.6579171,-82.7487996,0.567,pass,within_5km,osm,,,https://www.booking.com/hotel/cr/vista-verde.en-gb.html?aid=356980,,,,,2026-07-06,needs_verification,,osm_tags,2026-07-06,medium,unverified,false,,,,,,,,Discovered via osm_tags,,
Café Rico,restaurant,Puerto Viejo,9.6572005,-82.7527989,0.208,pass,within_5km,osm,+506 2750 0510,+50627500510,https://cometocaferico.com/,cafericocostarica,https://www.instagram.com/cafericocostarica/,http://www.facebook.com/pages/Cafe-rico-Puerto-viejo/608600996195818,,2026-07-06,needs_verification,,codex_web,2026-07-06,high,verified,true,2026-07-06,,,,,,,Discovered via codex_verified,,
Chili Rojo,restaurant,Puerto Viejo,9.6571363,-82.7541491,0.214,pass,within_5km,osm,+506 2750 0421,+50627500421,https://www.tripadvisor.com/Restaurant_Review-g309265-d1509837-Reviews-Chile_Rojo-Puerto_Viejo_de_Talamanca_Province_of_Limon.html,,,,,2026-07-06,needs_verification,,codex_web,2026-07-06,medium,unverified,false,,,,,,,,Discovered via codex_verified,,
Restaurante Cariblue,restaurant,Cocles,9.6514247,-82.7382801,1.705,pass,within_5km,osm,+506 2750 0035,+50627500035,https://cariblue.com/service/restaurante/,,,,,2026-07-06,needs_verification,,codex_web,2026-07-06,high,unverified,false,,,,,,,,Discovered via codex_verified,,
Río Negro,restaurant,Cocles,9.6439079,-82.7320862,2.653,pass,within_5km,osm,+506 2750 0155,+50627500155,,,,,,2026-07-06,needs_verification,,osm_tags,2026-07-06,medium,unverified,false,,,,,,,,Discovered via osm_tags,,
Jungle Air Parapente,shopping,Puerto Viejo,9.6577124,-82.7552944,0.338,pass,within_5km,osm,+506 8403 8717,+50684038717,,,,,,2026-07-06,needs_verification,,osm_tags,2026-07-06,medium,unverified,false,,,,,,,,Discovered via osm_tags,,
Panadería Francés,shopping,Cocles,9.6447588,-82.7289754,2.917,pass,within_5km,osm,84983901,+50684983901,alain01barisy@gmail.com,,,,,2026-07-06,needs_verification,,osm_tags,2026-07-06,medium,unverified,false,,,,,,,,Discovered via osm_tags,,
Ecotourism and Conservation Association of Talamanca,tour_company,Puerto Viejo,9.6571815,-82.7542969,0.226,pass,within_5km,osm,+506 2750 0398,+50627500398,https://ateccr.org/,atec_ong,https://www.instagram.com/atec_ong/,,,2026-07-06,needs_verification,,website_crawl,2026-07-06,high,verified,true,2026-07-06,,,,,,,Discovered via codex_verified,,
Refugio de animales Jaguar,tour_company,Cocles,9.6420923,-82.7232243,3.614,pass,within_5km,osm,+5062750-0710,+50627500710,https://www.jaguarrescue.foundation/,jaguarrescuecentercr,https://www.instagram.com/jaguarrescuecentercr/,,,2026-07-06,needs_verification,,website_crawl,2026-07-06,high,verified,true,2026-07-06,,,,,,,Discovered via osm_tags,,
Hotel Villas y Glamping M&A,vacation_rental,Cocles,9.6344826,-82.7396265,2.767,pass,within_5km,osm,+506 6351 7444,+50663517444,https://villasmya.com/,villasmya,https://www.instagram.com/villasmya/,,,2026-07-06,needs_verification,,website_crawl,2026-07-06,high,verified,true,2026-07-06,,,,,,,Discovered via codex_verified,,
Yerbas Concepto Culinario,vegan cafe; bakery; coworking,Puerto Viejo,9.6592,-82.7505,0.522,pass,within_5km,osm,,,,,,,,2026-07-06,needs_verification,,codex_web,2026-07-06,high,unverified,false,,,,,,,,Discovered via codex_web_discovery,,
