business_name,category,area,latitude,longitude,phone,normalized_phone,instagram_handle,facebook_url,website,google_maps_cid
The Reillder Castillo Project,,,9.6583737,-82.7547956,61911289,,,https://www.facebook.com/profile.php,https://www.thereilldercastilloproject.com/,10205893883698739713
TreeTop Mansion,,,9.6447043,-82.7404511,+17863276706,,,,https://air.tl/7kYDv5MY,11461817048321802805
TRIBU functional training,,,9.6559184,-82.7467873,89106979,,,,,4586270756459627380
Jungalow Tropical Caribeño,,,9.631909,-82.733771,,,,,,16949465081622523964
"Tropical Getaway ""Casa de Amor",,,9.6337969,-82.7183725,,,,,,17236719394809389330
"Tropical Getaway ""Dream House""",,,9.6450827,-82.7401256,,,,,,17546489389337086267
Tubolwak Lodge y Garden,,,9.6328434,-82.7166267,,,tubolwak,,,3600435867559147140
Villa Cerise,,,9.6400625,-82.7155625,27503096,,,,,12266159891992406171
Villa Kandulu,,,9.6547145,-82.7451559,64259581,,kandulu,,https://www.instagram.com/villaskandulucr/,13333726585970395954
Villa Khalú,,,9.6579672,-82.7785969,,,,,,6245678151143547198
Villa Miagoa,,,9.6393753,-82.7095963,60089241,,,https://www.facebook.com/profile.php,https://miagoa.com/,8175642157850375308
Villa Selva Luna,,,9.6356919,-82.7153429,+4915116128430,,,,,2386454846369082110
Villa Tropical,,,9.6518604,-82.7486714,,,,,,12295173525332496963
Villas caranda,,,9.6573326,-82.7880516,,,,,,3182923119551018499
Villas Kandulu,,,9.6547145,-82.7451559,64259581,,,,https://www.instagram.com/villaskandulucr/,13333726585970395954
Villas Moonlight,,,9.6494818,-82.7535372,22016245,,,,,9839322459254555272
Vindas,,,9.6425611,-82.7173137,,,vindascr,,,1110138628950468520
Hotel and Hostel Agapi,hostel,Puerto Viejo,9.656891,-82.743439,+506 8872-7230,+50688727230,agapi.pv,,,7492180577056289429
Kalunay Hostel,hostel,Puerto Viejo,9.655647,-82.750317,+506 2750 3168,+50627503168,kalunayhostel,https://www.facebook.com/KalunayHostel/,,13549549945867962662
Soul Rebel Hostel,hostel,Puerto Viejo,9.657554,-82.751945,+506 8891 8069,+50688918069,soulrebelhostel,,,1470909826947842376
Black Bamboo,hotel,Puerto Viejo,9.655909,-82.748043,+506 8306 5489,+50683065489,blackbamboo_bedandbreakfast,https://www.facebook.com/Black-Bamboo-892726704246164/,,9649993079907777710
Cabinas Mitchaelles,hotel,Puerto Viejo,9.65625,-82.751822,+506 8913 5713,+50689135713,cabinas_mitchaelles_cr,https://www.facebook.com/profile.php?id=100057273497525,,13327167442180512504
Cabinas Popular,hotel,Puerto Viejo,9.65643,-82.751674,+506 2750 0087,+50627500087,,,http://www.cabinaspopular.com/,975506958424374718
Cabinas Talamanca,hotel,Puerto Viejo,9.658405,-82.749143,+506 2750 0425,+50627500425,cabinastalamanca,,http://www.cabinastalamanca.com/,1496101248030016772
Casa Ana Kimba,hotel,Puerto Viejo,9.657087,-82.749872,+506 8888 1968,+50688881968,cak,,,13823455026627310391
Casa Bohö,hotel,Puerto Viejo,9.657995,-82.748907,+506 8715 1771,+50687151771,,,,8284218495825622354
Casa Dolce Vita,hotel,Puerto Viejo,9.658089,-82.751514,+506 2750-0207,+50627500207,casadolcevita,https://www.facebook.com/cabinascasadolcevita,http://hoteldetail.eu/cabinas-casa-dolce-vita,1282335974102907594
Exotic Lodge,hotel,Puerto Viejo,9.658765,-82.749794,+506 6296 7557,+50662967557,exoticlodge,,,8353070716309943884
Family Hotel,hotel,Puerto Viejo,9.657278,-82.750789,+506 8880 0338,+50688800338,familyhotelpv,,,16910431421739661204
Hostal Cecilia,hotel,Puerto Viejo,9.657362,-82.746545,+506 2750 0302,+50627500302,hostalcecilia,https://www.facebook.com/profile.php?id=100063539262338,,11938523891103686222
Hotel Casa Vito,hotel,Puerto Viejo,9.657561,-82.745573,+506 8697 7557,+50686977557,hotelcasavito,https://www.facebook.com/hotelcasavito,,9002517690753030013
Hotel Infiniti,hotel,Puerto Viejo,9.655938,-82.75219,+506 6055-5149,+50660555149,,,,17030940291864121871
Hotel Mandacarú,hotel,Puerto Viejo,9.658684,-82.750289,+506 2750-0232,+50627500232,,https://www.facebook.com/people/Hotel-Mandacar%C3%BA-Puerto-Viejo/61557680849228/,,11442698979892556145
Hotel Tropical,hotel,Puerto Viejo,9.656609,-82.751619,+506 2750 2064,+50627502064,hoteltropical,https://www.facebook.com/rolfblancketours,https://www.rolfblancke.com/,7969394138081997689
Sueño Grande Bed and Breakfast,hotel,Puerto Viejo,9.657792,-82.750629,+506 7205 9392,+50672059392,suenograndepv,https://www.facebook.com/DreamBiginPV,,5641578059331896840
Mi Casa Hostel y Hotel El Tesoro,hotel,Cocles,9.6533227,-82.7407247,+506 2750 0128,+50627500128,mi_casa_hostel_y_hotel_el_tesoro,,,13125604731849220414
"Bungalows Sloth - Manzanillo, Limón, Costa Rica",hotel,Manzanillo,,,+506 7004 0405,,bungalowslothcr,https://www.facebook.com/p/Bungalows-Sloth-Costa-Rica-100088285026224/,,2126825620796412684
"Cabinas YaMann - Manzanillo, Limón, Costa Rica",hotel,Manzanillo,,,+506 2759 9121,,,https://www.facebook.com/pages/cabinas-yamann/308895395682,,17823151304931402344
"Colibri Lodge Gandoca - Gandoca, Limón, Costa Rica",hotel,Gandoca,,,+506 2754 1057,,colibrilodgegandoca,,,528214679408125557
"Congo Bongo EcoVillage - Manzanillo, Limón, Costa Rica",hotel,Manzanillo,,,+506 2759 9016,,congobongocr,https://www.facebook.com/CongoBongoCR,https://www.congo-bongo.com/,9322669409493347402
"El Colibri Lodge - Manzanillo, Limón, Costa Rica",hotel,Manzanillo,,,+506 2759 9036,,,,,10814072515975103387
"Exotico Beach - Manzanillo, Limón, Costa Rica",hotel,Manzanillo,,,+506 6411 3165,,exoticobeach,https://www.facebook.com/nov23.ebh,,9510139176755946037
"Faith Glamping Dome - Manzanillo, Limón, Costa Rica",hotel,Manzanillo,,,+506 2750 0696,,faithglampingdomecr,https://www.facebook.com/faithglampingdomecr,,4259348950167927907
"Manzanillo Caribbean Resort - Manzanillo, Limón, Costa Rica",hotel,Manzanillo,,,+506 8774 1940,,manzanilloresortcr,https://www.facebook.com/manzanilloresort,,7812100596306456251
"Se Ua Bed and Breakfast - Manzanillo, Limón, Costa Rica",hotel,Manzanillo,,,+506 8807 6663,,,https://www.facebook.com/Se-Ua-Manzanillo-308067895891256/,,
"Shiosai Retreat Cabins - Gandoca, Limón, Costa Rica",hotel,Gandoca,,,+506 8450 9411,,shiosai_cabins,,,2791131175093117206
"Soda y Cabinas Kaniki - Gandoca, Limón, Costa Rica",hotel,Gandoca,,,+506 2754 1071,,,,,
"Tarponville Fishing Lodge - Manzanillo, Limón, Costa Rica",hotel,Manzanillo,,,+506 8499 7131,,tarponville_fishing_lodge,https://www.facebook.com/tarponville,,
Caribe Sur Real Estate,real_estate,Puerto Viejo,9.657328,-82.753803,+506 8701 6816,+50687016816,,https://www.facebook.com/CaribeSurRealEstate,http://www.caribesur-realestate.com/,14937553679269800467
Coldwell Banker Caribe,real_estate,Puerto Viejo,9.658603,-82.749288,+506 7171 8812,+50671718812,coldwellbankercaribe,https://www.facebook.com/coldwellbankercaribe,,49080311362860494
Gigi O Restaurant,restaurant,Puerto Viejo,9.658296,-82.752243,+506 8676 7889,+50686767889,,https://www.facebook.com/wearegigio,https://wearegigi.com/gigi-o,4732141069441829785
Cacao Huasi,restaurant,Puerto Viejo,9.656104,-82.755883,+506 8910 9318,+50689109318,cacaohuasi,,,1242408439996904931
Café Gustitos,restaurant,Puerto Viejo,9.656438,-82.754985,,,caf_gustitos,,,3787124603348818142
Cafe Rico,restaurant,Puerto Viejo,9.657288,-82.752854,+506 2750 0510,+50627500510,cafericocostarica,https://www.facebook.com/CafeRicoCostaRica,https://www.tripadvisor.com/Restaurant_Review-g309265-d3169883-Reviews-Cafe_Rico-Puerto_Viejo_de_Talamanca_Province_of_Limon.html,5741623948918730601
Chaman Mercadito,restaurant,Puerto Viejo,9.657772,-82.754148,,,chaman_mercadito,https://www.facebook.com/chaman.mercadito,,2968574655178095232
Como en la Gloria,restaurant,Puerto Viejo,9.658707,-82.749128,+506 8584 8190,+50685848190,comoenlagloriapuertoviejo,https://www.facebook.com/comoenlagloriapv,https://www.tripadvisor.com/Restaurant_Review-g1212465-d13339992-Reviews-Como_en_la_Gloria-Cocles_Puerto_Viejo_de_Talamanca_Province_of_Limon.html,1992524522108535061
Island City Wingz N Tingz,restaurant,Puerto Viejo,9.658425,-82.751827,+506 7253 1188,+50672531188,,https://www.facebook.com/Islandcityenglish,,4325961701237139165
Joe Snack Point,restaurant,Puerto Viejo,9.653914,-82.754626,+506 2750 0379,+50627500379,,https://www.facebook.com/joe.snackpoint,,13515529363295537137
McCloud's Munchies,restaurant,Puerto Viejo,9.658811,-82.751462,,,,,,15751918209348819421
La Parada Cafeteria,restaurant,Puerto Viejo,9.656646,-82.756,+506 2750 0558,+50627500558,la_parada_cafeteria_cr,,,17702928579971376532
Restaurante Riquísimo,restaurant,Puerto Viejo,9.657389,-82.753954,+506 2750 0367,+50627500367,riqusimo,https://www.facebook.com/Restaurante-Riqu%C3%ADsimo-CR-333747447514616/,https://www.tripadvisor.com/Restaurant_Review-g309265-d4163712-Reviews-Soda_riquisimo-Puerto_Viejo_de_Talamanca_Province_of_Limon.html,9970954456776975626
El Sabor Tico,restaurant,Puerto Viejo,9.656665,-82.754633,+506 8876 5020,+50688765020,,,,7269480960058336334
Samurai Fusion,restaurant,Puerto Viejo,9.658118,-82.751913,+506 8770 7502,+50687707502,samurai_wolaba,https://www.facebook.com/samuraiwolaba/,https://www.tripadvisor.com/Restaurant_Review-g309265-d24135534-Reviews-Samuray_Fusion-Puerto_Viejo_de_Talamanca_Province_of_Limon.html,8353793036632461139
SOCA Restaurant,restaurant,Puerto Viejo,9.657759,-82.752478,+506 8505 1414,+50685051414,socarestaurant,https://www.facebook.com/wahappencaribe,https://www.tripadvisor.com/Restaurant_Review-g309265-d23838043-Reviews-Soca-Puerto_Viejo_de_Talamanca_Province_of_Limon.html,12232799133081119632
Todo Es Posible,restaurant,Puerto Viejo,9.657728,-82.745936,+506 2756 8484,+50627568484,todoesposible,,,10857452245923386259
Clan Vibes Club,restaurant,Puerto Viejo,9.65777,-82.754227,,,clanvibes_club,,,7459202686588347907
Bloom Cafe & Donas,restaurant,Puerto Viejo,9.655791,-82.75402,+506 8661 2372,+50686612372,bloomdonas,,,3622931891880684663
BOA Coworking,restaurant,Puerto Viejo,9.657341,-82.752241,,,,,,9729510481461644038
Bread What What,restaurant,Puerto Viejo,9.658457,-82.752243,+506 8814 8984,+50688148984,,https://www.facebook.com/p/Bread-what-what-100076592611660/,,15524106146082438383
Calipso,restaurant,Puerto Viejo,9.657299,-82.754043,,,calipso.caribe,,,8483815143288546232
Iriria Specialty Coffee Shop,restaurant,Puerto Viejo,9.658533,-82.75219,+506 8707 0543,+50687070543,iriria_cafeteria,,,17441244772065149373
Juice for Life Wolaba,restaurant,Puerto Viejo,9.656813,-82.753179,+506 7043 9694,+50670439694,juiceforlifewolaba,,,543073464450059371
Lulu's Place,restaurant,Puerto Viejo,9.656114,-82.753697,+506 8627 1937,+50686271937,lulusplace,https://www.facebook.com/luluberlugaleria,,3766450624092844612
Pidiendo Cacao,restaurant,Puerto Viejo,9.658906,-82.749544,,,pidiendocacaocr,,,4039924463453362188
Watuza,restaurant,Puerto Viejo,9.6574,-82.755,,,cafeteriawatuza,https://www.facebook.com/watuzacafe,https://www.watuza.pro/blog,5087368109469436
Yerbas Concepto Culinario,restaurant,Puerto Viejo,9.6592,-82.7505,,,culinario,,https://www.instagram.com/yerbas.concepto?igsh=dDJnYXZwYWkzZmd6&utm_source=qr,4171499263891603584
"Bendita Comida - Bribri, Limón, Costa Rica",restaurant,Bribri,,,+506 8820 2410,,,https://www.facebook.com/profile.php?id=100083238105340,,673532812773709021
"Colores Restaurant and Beach Lounge - Manzanillo, Limón, Costa Rica",restaurant,Manzanillo,,,+506 6203 0798,,coloresrestaurantandbeachloung,https://www.facebook.com/Coloresrestaurantandbeachlounge,,3520970534557309146
"Cool and Calm Cafe - Manzanillo, Limón, Costa Rica",restaurant,Manzanillo,,,,,,,https://www.tripadvisor.com/Restaurant_Review-g1644063-d4741756-Reviews-Cool_Calm_Cafe-Manzanillo_Province_of_Limon.html,15849146102448801527
El Dragón,restaurant,Puerto Viejo,,,+506 6410 0334,,,https://www.facebook.com/ElDragon.pv,https://www.tripadvisor.com/Restaurant_Review-g309265-d19939214-Reviews-El_Dragon-Puerto_Viejo_de_Talamanca_Province_of_Limon.html,15307063167947850855
"Fusión Restaurante - Sixaola, Limón, Costa Rica",restaurant,Sixaola,,,+506 6238 3809,,,https://www.facebook.com/p/Fusi%C3%B3n-Restaurante-61560392795414/,,1530710866481715684
"Maxi's Restaurant - Manzanillo, Limón, Costa Rica",restaurant,Manzanillo,,,+506 2759-0673,,,,https://www.tripadvisor.com/Restaurant_Review-g1644063-d1160823-Reviews-Maxi_s_Restaurant-Manzanillo_Province_of_Limon.html,2811947477184958270
"Soda Chang - Sixaola, Limón, Costa Rica",restaurant,Sixaola,,,,,,,,12096131897059550769
"Soda Marta - Sixaola, Limón, Costa Rica",restaurant,Sixaola,,,+506 7040 6944,,,,,17548396689353983180
Automotriz Danny,services,Puerto Viejo,9.656969,-82.751273,+506 2750-0185,+50627500185,automotrizdanny,https://www.facebook.com/Taller-Danny-Puerto-Viejo-1603755879903788/,,8668304854687518026
Clínica Dental Yani,services,Puerto Viejo,9.656159,-82.746072,+506 8868 1439,+50688681439,cdy,https://www.facebook.com/DentalYani,,15014437406187691360
Laboratorio Bioclinic,services,Puerto Viejo,9.657069,-82.753918,+506 2750 0450,+50627500450,laboratoriobioclinic,https://www.facebook.com/Laboratorio-Bioclinic-Puerto-Viejo-380254682030300/,,2511122372422782678
Lavandería La Estrella,services,Puerto Viejo,9.657528,-82.746558,+506 8719 5961,+50687195961,lavandera_la_estrella,,,1889608973525699671
Aloha Skincare and Wellness,services,Puerto Viejo,9.656664,-82.754087,+506 8310 1665,+50683101665,,https://www.facebook.com/Aloha-Caribe-Wellness-187001214674982/,,565813449899308633
Ambar Tattoo Space,services,Puerto Viejo,9.658929,-82.749726,+506 7163 1076,+50671631076,ambar.tattoospace,,,3494255912740671382
Caribe Love Tattoo,services,Puerto Viejo,9.655737,-82.754061,+506 6006 2347,+50660062347,caribelovetattoo,https://www.facebook.com/CaribeLoveTattoo,,16552705196228924381
Earth to Skin,services,Puerto Viejo,9.64952,-82.737008,,,earthtoskin,https://www.facebook.com/profile.php?id=61577075530159,,6047083801083296069
Mendez Barber Shop,services,Puerto Viejo,9.638165,-82.71215,+506 8363 8676,+50683638676,,https://www.facebook.com/Roots-Barber-Shop-337786386865648/,,5529719550027810747
Pure Jungle Spa,services,Puerto Viejo,9.630028,-82.721203,+506 2756 8413,+50627568413,purejunglespa,https://www.facebook.com/PUREJungleSpa,https://www.tripadvisor.com/Attraction_Review-g309265-d1427184-Reviews-Pure_Jungle_Spa-Puerto_Viejo_de_Talamanca_Province_of_Limon.html,13111271524723360984
Svastha Yoga & Ayurveda Café,services,Puerto Viejo,9.656252,-82.755525,+506 6423 3726,+50664233726,svasthacr,https://www.facebook.com/svasthacr,,8317123943686846949
La Tinta Tropical,services,Puerto Viejo,9.657462,-82.754819,+506 8948 9183,+50689489183,latintatropical,https://www.facebook.com/damiancalandra,,3486593641699246622
Clínica Veterinaria Arroyo y Solano,services,Puerto Viejo,9.736005,-82.841876,+506 2756 8306,+50627568306,clnica,https://www.facebook.com/veterinariaarroyosolano,,15400950969629438728
Ciclo Tuanis,services,Puerto Viejo,9.644746,-82.728838,+506 2750 3222,+50627503222,ciclo_tuanis_cr,,,13918274438659118327
Cerrajería Paris,services,Puerto Viejo,9.747332,-82.859364,+506 6085 1666,+50660851666,,https://www.facebook.com/p/Cerrajeria-Par%C3%ADs-Puerto-Viejo-100064036263764/,,6040828318272438452
Eñe Spanish Teachers,services,Puerto Viejo,9.655259,-82.75327,+506 7286 5336,+50672865336,,,,8716363808718267189
Spanish by the Sea,services,Puerto Viejo,9.756165,-82.867946,+506 8799 8992,+50687998992,spanishbythesea,https://www.facebook.com/Spanish-by-the-Sea-Puerto-Viejo-Costa-Rica-1443355352604549/,,439116677363621136
Sea Breeze Events,services,Puerto Viejo,9.657494,-82.753373,,,seabreezeevents,https://www.facebook.com/seabreezeeventscr,https://www.instagram.com/laselva_pv/?hl=es,8923069820182897353
Surf the Jungle Surf School Adventures,services,Puerto Viejo,9.504722,-82.615203,+506 8710 4148,+50687104148,,https://www.facebook.com/surfthejungle,https://www.tripadvisor.com/Attraction_Review-g309265-d10797817-Reviews-Surf_the_Jungle_Surf_School_Adventures-Puerto_Viejo_de_Talamanca_Province_of_Lim.html,14229054643032701360
Catholic Church,services,Puerto Viejo,9.657354,-82.755123,,,catholicchurch,,,4409251360524216865
BAC Credomatic ATM,services,Puerto Viejo,9.655913,-82.754856,,,baccredomaticatm,,,17219624679350508173
"Bomberos Bribri - Bribri, Limón, Costa Rica",services,Bribri,,,+506 2751 0347,,bomberos_costa_rica,,,1663157003072952926
"Clínica de Medicina Integral Bribri - Bribri, Limón, Costa Rica",services,Bribri,,,+506 7222 6452,,,https://www.facebook.com/clinicaenbribri,,15931105907700979601
"Cruz Roja - Bribri, Limón, Costa Rica",services,Bribri,,,+506 2751 0141,,,https://www.facebook.com/crcregionlimon,https://www.cruzroja.or.cr/,657883797543242654
"Mayela Public Parking - Sixaola, Limón, Costa Rica",services,Sixaola,,,+506 8532 6251,,,,,15101902642643077553
"OIJ - Bribri, Limón, Costa Rica",services,Bribri,,,+506 2751-1087,,,https://www.facebook.com/pages,https://sitiooij.poder-judicial.go.cr/index.php/oficinas/subdelegaciones-regionales/bribri,6403317079907227998
"Parqueo Sixaola - Sixaola, Limón, Costa Rica",services,Sixaola,,,+506 7117 2345,,,https://www.facebook.com/profile.php?id=100088425357322,,3973269979891349390
